name,lat,lon
Gouripur,22.0756355,88.2546358
Anchuri,23.284466,86.993343
Dhobargram,23.2862235,86.9686658
Tantakanali,,
Harekrishnapur,,
Dhulkumari,23.2797914,86.9436321
Kashidoba,,
Nidaya,23.2712069,86.9611571
Papurdihi,23.2661821,86.97054279999999
Debipur,,
Beharadihi,,
Nawdi,,
Balardihi,,
Badulara,,
Sanabandh,,
Jirabaid,,
Katgoria,,
Jamradihi,,
Ghughujan,,
Jalhari,,
Uttar Bankati,,
Kapishtha,,
Damragoria,,
Darpanagar,,
Murardihi,,
Pachirdanga,,
Dupsara,,
Pachirdangga,,
Pathakdihi,,
Pathrabaid,,
Bankata,,
Gopalpur,,
Manoharpur,,
Gonsaidihi,,
Kenjakura,,
Radhakantapur,,
Badra,,
Metiakhola,,
Ramnagar,,
Molbana,,
Bhola,,
Kantakuli,,
Dhulidihi,,
Kamlagara,,
Kalpathar,,
Rangamatia,,
Basulitara,,
Beliya,,
Jambedia,,
Porashol,,
Barabagan,,
Kashibedya,,
Barabedya,,
Chingra,,
Bhalukbasa,,
Hetyashol,,
Anandapur,,
Kushtora,,
Khenkriara,,
Nekragoria,,
Pathrakata,,
Gangtora,,
Dhagaria,,
Banchingra,,
Nangalberya,,
Chhendua,,
Chamkara,,
Fengabasa,,
Amlatora,,
Dinargan,,
Ekaira,,
Junkanali,,
Kendbona,,
Kalabati,,
Batdeuli,,
Purundihi,,
Kumidya,,
Penchaldihi,,
Siarbedya,,
Andharthol,,
Sutijor,,
Shyamdanga,,
Ramjibanpur,,
Shunukpahari,,
Jambani,,
Dabar,,
Chikchika,,
Puramouli,,
Dhobagaon,,
Chelema,,
Chaliya Bakra,,
Nayabadi,,
Sagunsara,,
Bhalukgejar,,
Shyampur,,
Khap,,
Shushunia,,
Dubraji,,
Helna,,
Fagua Kanali,,
Dumuriya,,
Chaturdihi,,
Supurdihi,,
Golamitara,,
Taribaterdihi,,
Harumalliker Bankata,,
Deb,,
Keranipur,,
Kaludihi,,
Chhatardihi,,
Nutangaon,,
Paharia,,
Bhikurdihi,,
Kankaradihi,,
Jethiya,,
Dulalpur,,
Bhagabanpur,,
Baindhaka,,
Bhaturi,,
Jharia,,
Makarkendi,,
Rajkumar,,
Shibrampur,,
Uparshol,,
Dakshin Bankati,,
Patalkhuri,,
Nandigram,,
Krishanagar,,
Rajagram,,
Damodarpur,,
Kendkhune,,
Agaya,,
