id,name,jl_number,block_id
2040,Paira,044,12.0
2041,Simlabandh,045,12.0
2042,Bhedua,046,12.0
2043,Lutia,047,12.0
2044,Jhapandihi,048,12.0
2045,Kendua,049,12.0
2046,Golakpur,050,12.0
2047,Bhutardihi,051,12.0
2048,Manora,052,12.0
2049,Dharampur,053,12.0
2050,Masiara,054,12.0
2051,Shawl Ponamara,055,12.0
2052,Amjhuri,056,12.0
2053,Bijardihi,057,12.0
2054,Chakadoba,058,12.0
2055,Sitarampur,059,12.0
2056,Itamara,060,12.0
2057,Bhuchudungri,061,12.0
2058,Madhupur,062,12.0
2059,Bhuakana,063,12.0
2060,Jambeda,064,12.0
2061,Arjunda,065,12.0
2062,Tirsulia,066,12.0
2063,Belkanali,067,12.0
2064,Bauridihi,068,12.0
2065,Barkania,069,12.0
2066,Dhayrapara,070,12.0
2067,Jamdahara,071,12.0
2068,Tilabani,072,12.0
2069,Chakadoba,073,12.0
2070,Dhangadungri,074,12.0
2071,Mirgi,075,12.0
2072,Hirbandh,076,12.0
2073,Shimulkundi,077,12.0
2074,Chanpashol,078,12.0
2075,Basudebpur,079,12.0
2076,Jhatpukhuria,080,12.0
2077,Bhelaidiha,081,12.0
2078,Jagatpur,082,12.0
2079,Husumdanga,083,12.0
2080,Bhogra,084,12.0
2081,Dighi,085,12.0
2082,Debidia,086,12.0
2083,Dhajamanipur,087,12.0
2084,Topabari,088,12.0
2085,Kaliapathar,089,12.0
2086,Shyampur,090,12.0
2087,Baharamuri,091,12.0
2088,Jibanpur,092,12.0
2089,Talgaria,093,12.0
2090,Itamara,094,12.0
2091,Uganpathar,095,12.0
2092,Benagarya,096,12.0
2093,Pathardihi,097,12.0
2094,Jambedya,098,12.0
2095,Uparhir,099,12.0
2096,Bhubandihi,100,12.0
2097,Maitibandh,101,12.0
2098,Diasdihi,102,12.0
2099,Baragajra,103,12.0
2100,Ashberya,104,12.0
2101,Kaliahuta,105,12.0
2102,Jadurbankata,106,12.0
2103,Nishchintapur,107,12.0
2104,Bagaldhara,129,12.0
2105,Rangamati,141,12.0
2106,Mashanjhar,142,12.0
2107,Pataashimul,143,12.0
2108,Lalraydihi,144,12.0
2109,Bagjabra,145,12.0
2110,Kadmakanali,146,12.0
2111,Bhojda,147,12.0
2112,Palashbani,148,12.0
2113,Indpur,149,12.0
2114,Gobarda,152,12.0
2115,Deulagara,153,12.0
2116,Domohani,154,12.0
2117,Khandarani,155,12.0
2118,Uttar Kendbana,001,13.0
2119,Baradoba,002,13.0
2120,Kalipahari,003,13.0
2121,Narasingdhara,004,13.0
2122,Salukdanga,005,13.0
2123,Bhabrigara,006,13.0
2124,Niyasa,007,13.0
2125,Nutandihi,008,13.0
2126,Jagatpur,009,13.0
2127,Bhutargara,010,13.0
2128,Bhalukchal,011,13.0
2129,Chaka,012,13.0
2130,Uttarpayrachali,013,13.0
2131,Ambedya,014,13.0
2132,Beldanga,015,13.0
2133,Bangram,016,13.0
2134,Hatgram,017,13.0
2135,Beliagara,018,13.0
2136,Satami,019,13.0
2137,Radhanagar,020,13.0
2138,Dubrajpur,021,13.0
2139,Raghudihi,022,13.0
2140,Gilirbona,023,13.0
2141,Ahanda,024,13.0
2142,Uttar Asanbani,025,13.0
2143,Khaerbani,026,13.0
2144,Kumirpathar,027,13.0
2145,Ledapalash,028,13.0
2146,Madhabpur,029,13.0
2147,Saerdi,030,13.0
2148,Kajalkura,031,13.0
2149,Purulia,032,13.0
2150,Surulia,033,13.0
2151,Dakshin Kendbana,034,13.0
2152,Damodarpur,035,13.0
2153,Kalachandpur,036,13.0
2154,Sialia,037,13.0
2155,Belut,038,13.0
2156,Natherdanga,039,13.0
2157,Brahmandiha,040,13.0
2158,Tungi,041,13.0
2159,Rampur,042,13.0
2160,Pabra,043,13.0
2161,Kendbanadhagara,044,13.0
2162,Petardi,045,13.0
2163,Bara Jorda,046,13.0
2164,Gobrashol,047,13.0
2165,Gopaldi,048,13.0
2166,Ghusikdanga,049,13.0
2167,Chaukighata,050,13.0
2168,Dakshin Asanbani,051,13.0
2169,Balarampur,052,13.0
2170,Patirdang,053,13.0
2171,Kamalabad,054,13.0
2172,Gottarya,055,13.0
2173,Kelera,056,13.0
2174,Maity Dubrajapur,057,13.0
2175,Salanpur,058,13.0
2176,Gandlugara,059,13.0
2177,Padulara,060,13.0
2178,Bhalukbasa,061,13.0
2179,Karamkhala Kalachandpur,062,13.0
2180,Khatiagram,063,13.0
2181,Bamni,064,13.0
2182,Benagerya,065,13.0
2183,Junbedya,066,13.0
2184,Dakshin Kamalpur,067,13.0
2185,Shibrampur,068,13.0
2186,Chandra,069,13.0
2187,Bhutama,070,13.0
2188,Phulkusma,071,13.0
2189,Benahar,072,13.0
2190,Uttar Kamalpur,073,13.0
2191,Sonardanga,074,13.0
2192,Jugibad,075,13.0
2193,Nekrakonda,076,13.0
2194,Dakshin Payarachali,077,13.0
2195,Kaliapathar,078,13.0
2196,Belaruma,079,13.0
2197,Rajudi,080,13.0
2198,Raghunathapur,081,13.0
2199,Garduara,082,13.0
2200,Patharkhunya,083,13.0
2201,Kurchibedya,084,13.0
2202,Ghutia,085,13.0
2203,Danga,086,13.0
2204,Panjangara,087,13.0
2205,Birchandrapur,088,13.0
2206,Chhelebad,089,13.0
2207,Baga,090,13.0
2208,Niasha,091,13.0
2209,Jambedya,092,13.0
2210,Shaluka,093,13.0
2211,Kendbona,094,13.0
2212,Beldangra,095,13.0
2213,Bandeuli,096,13.0
2214,Mayurnachana,097,13.0
2215,Kadamdeuli,098,13.0
2216,Bisharbera,099,13.0
2217,Nadusenara,100,13.0
2218,Hetyapathar,101,13.0
2219,Banshidihi,102,13.0
2220,Kharakanali,103,13.0
2221,Nischintapur,104,13.0
2222,Jiarda,105,13.0
2223,Banshketya,106,13.0
2224,Erodihi,107,13.0
2225,Tunamara,108,13.0
2226,Chakaltasahar,109,13.0
2227,Panchpukhuria,110,13.0
2228,Churamanipur,111,13.0
2229,Jagat Deuli,112,13.0
2230,Hitashi,113,13.0
2231,Hannya,114,13.0
2232,Deghariardihi,115,13.0
2233,Puara,116,13.0
2234,Chaitandihi,117,13.0
2235,Mukhutidi,118,13.0
2236,Jirra,119,13.0
2237,Chakaltor,120,13.0
2238,Siromonipur,121,13.0
2239,Kantakuli,122,13.0
2240,Chhatrabad,123,13.0
2241,Amdanga,124,13.0
2242,Depahari Haunnyagara,125,13.0
2243,Krishnanagar,126,13.0
2244,Niamatpur,127,13.0
2245,Mohanepara,128,13.0
2246,Bagdiha,129,13.0
2247,Dhobagere,130,13.0
2248,Shiromanipur,131,13.0
2249,Nuniabad,132,13.0
2250,Purushottampur,133,13.0
2251,Maheshpur,134,13.0
2252,Deulbhira,135,13.0
2253,Bajora,136,13.0
2254,Manohara,137,13.0
2255,Gokulnagar,138,13.0
2256,Damodarpur,139,13.0
2257,Nayekhir,140,13.0
2258,Indpur,141,13.0
2259,Bhaluka,142,13.0
2260,Banshi,143,13.0
2261,Chakadoba,144,13.0
2262,Panijia,145,13.0
2263,Dharampur,146,13.0
2264,Paharpur,147,13.0
2265,Dhengakend,148,13.0
2266,Bholarkhap,149,13.0
2267,Menjua,150,13.0
2268,Sankara,151,13.0
2269,Bheduashol,152,13.0
2270,Dangarampur,153,13.0
2271,Golakpur,154,13.0
2272,Bankata,155,13.0
2273,Botkula,156,13.0
2274,Goaladanga,157,13.0
2275,Jugda,158,13.0
2276,Mauladanga,159,13.0
2277,Gobindapur,160,13.0
2278,Upar  Kechanda,161,13.0
2279,Chhota Kechanda,162,13.0
2280,Raghunathpur,163,13.0
2281,Harishchandrapur,164,13.0
2282,Nama Geryakula,165,13.0
2283,Dhansantra,166,13.0
2284,Nayada,167,13.0
2285,Upar Geryakula,168,13.0
2286,Salkap,169,13.0
2287,Ramchandrapur,170,13.0
2288,Kurpa,171,13.0
2289,Gunnath,172,13.0
2290,Madunia,173,13.0
2291,Tentulia,174,13.0
2292,Brajarajpur,175,13.0
2293,Mataranga,176,13.0
2294,Tentulchita,177,13.0
2295,Kalpathar,178,13.0
2296,Kaliapathar,179,13.0
2297,Gangpur,180,13.0
2298,Marlu,181,13.0
2299,Shialgaria,182,13.0
2300,Shirishganjal,183,13.0
2301,Gosainhir,184,13.0
2302,Bawrishol,185,13.0
2303,Ali Jhara,186,13.0
2304,Harishchandrapur,187,13.0
2305,Bhatra,188,13.0
2306,Tarkajor,189,13.0
2307,Maukuri,190,13.0
2308,Benagaria,191,13.0
2309,Atbhaichandi,192,13.0
2310,Chourabad,193,13.0
2311,Geriakola,194,13.0
2312,Shibarampur,195,13.0
2313,Shalgerya,196,13.0
2314,Namshol,197,13.0
2315,Karkata,198,13.0
2316,Gharpathar,199,13.0
2317,Rowtara,200,13.0
2318,Satsagarya,201,13.0
2319,Maish Dabra,202,13.0
2320,Gourbazar,203,13.0
2321,Dhuniagar,204,13.0
2322,Jhaktor,205,13.0
2323,Dumutor,206,13.0
2324,Kshirpai,207,13.0
2325,Khapkata,208,13.0
2326,Pathrator,209,13.0
2327,Rampur,210,13.0
2328,Arabar,211,13.0
2329,Kurkutia,212,13.0
2330,Jharia,213,13.0
2331,Araldihi,214,13.0
2332,Jugibaid,215,13.0
2333,Chhatapur,216,13.0
2334,Nishchintapur,217,13.0
2335,Binodpur,218,13.0
2336,Kurusthalia,219,13.0
2337,Gosainijanara,220,13.0
2338,Patijanara,221,13.0
2339,Kuchaipar,222,13.0
2340,Kalyansaer,001,14.0
2341,Kalapathar,002,14.0
2342,Bera,003,14.0
2343,Keshe,004,14.0
2344,Lachankunda,005,14.0
2345,Bhagra,006,14.0
2346,Lalbazar,007,14.0
2347,Digarkanali,008,14.0
2348,Karamara,009,14.0
2349,Damdi,010,14.0
2350,Baburamhir,011,14.0
2351,Raidihi,012,14.0
2352,Bankanali,013,14.0
2353,Indrajhor,014,14.0
2354,Manipur,057,14.0
2355,Tetulchita,058,14.0
2356,Buridhara,059,14.0
2357,Chanpabani,060,14.0
2358,Khatanga,061,14.0
2359,Jaljura,062,14.0
2360,Gumkihata,063,14.0
2361,Banakharang,064,14.0
2362,Madhupur,065,14.0
2363,Khalpara,066,14.0
2364,Payraguri,067,14.0
2365,Siarbeda,068,14.0
2366,Chirugora,069,14.0
2367,Karrashol,070,14.0
2368,Chaturi Kalapathar,071,14.0
2369,Chaturi Nutandihi,072,14.0
2370,Chaturi,073,14.0
2371,Lachhipur,074,14.0
2372,Manhara,075,14.0
2373,Bishanpur,076,14.0
2374,Rautkhana,077,14.0
2375,Pirra,078,14.0
2376,Rangashol,079,14.0
2377,Birudi,080,14.0
2378,Dundar,081,14.0
2379,Khejurbedia,082,14.0
2380,Sonagara,083,14.0
2381,Lohamerya,084,14.0
2382,Jambani,085,14.0
2383,Bhadli,086,14.0
2384,Jhari,087,14.0
2385,Karambera,088,14.0
2386,Pukhuria,089,14.0
2387,Murkum,090,14.0
2388,Kadmagar,091,14.0
2389,Sagarbhanga,092,14.0
2390,Dhenga-am,093,14.0
2391,Turubandh,094,14.0
2392,Nishchintapur,095,14.0
2393,Dangarsai,096,14.0
2394,Masra,097,14.0
2395,Asurgerya uttar,098,14.0
2396,Khairdungri,099,14.0
2397,Mukundapur,100,14.0
2398,Panrari,101,14.0
2399,Mahulbani,102,14.0
2400,Hariharganj,103,14.0
2401,Tungi,104,14.0
2402,Rautara,105,14.0
2403,Shiromanipur,106,14.0
2404,Dhobashol,107,14.0
2405,Raipur Bazar,139,14.0
2406,Dharampur,140,14.0
2407,Kajla,141,14.0
2408,Kajalkura,142,14.0
2409,Kamardiha,143,14.0
2410,Kankrashol,144,14.0
2411,Jamshol,145,14.0
2412,Banpathari,146,14.0
2413,Niljora,147,14.0
2414,Kuldiha,148,14.0
2415,Khardda,149,14.0
2416,Shyamsundarpur,150,14.0
2417,Jagannathpur,151,14.0
2418,Kalashol,152,14.0
2419,Jarka,153,14.0
2420,Sara,154,14.0
2421,Kuchaipal,155,14.0
2422,Malshol,156,14.0
2423,Samarpacha,157,14.0
2424,Dhanghari,158,14.0
2425,Ledra,159,14.0
2426,Kharigerya,160,14.0
2427,Lakat,161,14.0
2428,Motgoda,162,14.0
2429,Sarigari,163,14.0
2430,Makli,164,14.0
2431,Kelepara,165,14.0
2432,Rajgan,166,14.0
2433,Jadabnagar,167,14.0
2434,Jashpara,168,14.0
2435,Dubrajpur,169,14.0
2436,Nayapara,170,14.0
2437,Uparbanda,171,14.0
2438,Dublala,172,14.0
2439,Simli,201,14.0
2440,Barapara,202,14.0
2441,Anara,203,14.0
2442,Danrpara,204,14.0
2443,Kargali,205,14.0
2444,Dulapara,231,14.0
2445,Asardda,232,14.0
2446,Chandpara,233,14.0
2447,Budha Kalsapa,234,14.0
2448,Belbani,235,14.0
2449,Amchurya,236,14.0
2450,Benakata,237,14.0
2451,Patlurki,238,14.0
2452,Demushunya,239,14.0
2453,Satpatta,240,14.0
2454,Mandalkuli,241,14.0
2455,Madanpur,242,14.0
2456,Asurgerya,243,14.0
2457,Belpahari,244,14.0
2458,Amritpal,245,14.0
2459,Dudhya,246,14.0
2460,Magra,247,14.0
2461,Garpahar,248,14.0
2462,Raspal,249,14.0
2463,Debashol,250,14.0
2464,Ghatushol,251,14.0
2465,Shushunia,252,14.0
2466,Banshinala,253,14.0
2467,Hatkata,254,14.0
2468,Barpaya,255,14.0
2469,Baragari,256,14.0
2470,Thakurbari,257,14.0
2471,Sagarchaka,258,14.0
2472,Kamalpur,259,14.0
2473,Chapapal,260,14.0
2474,Dhekikata,261,14.0
2475,Dangarsai,262,14.0
2476,Kumarara,263,14.0
2477,Nepura,264,14.0
2478,Banshkana,265,14.0
2479,Kenduapara,266,14.0
2480,Kadamdiha,267,14.0
2481,Chelepara,268,14.0
2482,Laupara,269,14.0
2483,Kukrajuri,270,14.0
