0,1,2,3,4,5,6
12,5,1,800 Kg/Acre,,2016-03-03 09:08:28,2016-03-03 09:08:28
13,5,2,600 Kg/Acre,,2016-03-03 09:09:27,2016-03-03 09:09:27
14,5,3,,,2016-03-03 09:10:37,2016-03-03 09:10:37
15,5,4,,200 Kg/Acre,2016-03-03 09:13:35,2016-03-03 09:13:35
16,4,1,800 Kg/Acre,,2016-03-03 09:16:18,2016-03-03 09:16:18
17,4,2,600 Kg/Acre,,2016-03-03 09:16:53,2016-03-03 09:16:53
18,4,3,,,2016-03-03 09:17:07,2016-03-03 09:17:07
19,4,4,,200 Kg/Acre,2016-03-03 09:17:26,2016-03-03 09:17:26
20,3,1,800 Kg/Acre,,2016-03-03 09:22:01,2016-03-03 09:22:01
21,3,2,600 Kg/Acre,,2016-03-03 09:22:44,2016-03-03 09:22:44
22,3,3,,,2016-03-03 09:23:10,2016-03-03 09:23:10
23,3,4,,200 Kg/Acre,2016-03-03 09:24:48,2016-03-03 09:24:48
24,1,1,400 Kg/Acre,,2016-03-03 09:26:23,2016-03-03 09:26:23
25,1,2,400 Kg/Acre,,2016-03-03 09:27:03,2016-03-03 09:27:03
26,1,3,,,2016-03-03 09:28:17,2016-03-03 09:28:17
27,1,4,,200 Kg/Acre,2016-03-03 09:28:55,2016-03-03 09:28:55
28,2,1,400 Kg/Acre,,2016-03-03 09:29:53,2016-03-03 09:29:53
29,2,2,400 Kg/Acre,,2016-03-03 09:30:09,2016-03-03 09:30:09
30,2,3,,,2016-03-03 09:30:22,2016-03-03 09:30:22
31,2,4,,200 Kg/Acre,2016-03-03 09:30:54,2016-03-03 09:30:54
