id,addressline,pin,laboratory_id,created_at,updated_at,district_id,block_id
1,"Darjeeling, Kalimpong",0,1,16:33.0,16:33.0,4,
2,"Darjeeling, Kalimpong",0,2,17:11.0,17:11.0,4,
3,"Darjeeling, Coochbeher",0,3,00:00.0,00:00.0,4,
4,"Jalpaiguri 1, Coochbehar",,4,04:35.0,04:35.0,7,123
5,Jalpaiguri 2,,5,06:19.0,06:19.0,7,123
6,"Alipurduar, Alipurduar 1",,6,07:11.0,07:11.0,8,132
7,"Coochbihar, Coochbihar 1",,7,08:11.0,08:11.0,9,136
8,"Coochbehar, Coochbehar 2",,8,09:32.0,09:32.0,9,137
9,"Uttar Dinajpur, Raiganj",,9,10:21.0,10:21.0,19,349
10,"Uttar Dinajpur, Raiganj",,10,10:50.0,10:50.0,19,349
11,Dakshin Dinajpur ,,11,12:13.0,12:13.0,18,335
12,Dakshin Dinajpur ,,12,13:21.0,13:21.0,18,335
13,"Malda, Old Malda",,13,14:29.0,14:29.0,10,156
14,"Malda, Old Malda",,14,14:46.0,14:46.0,10,156
15,"Murshidabad , Berhampore",,15,15:31.0,15:31.0,13,219
16,"Murshidabad , Berhampore",,16,16:03.0,16:03.0,13,219
18,Birbhum,,18,17:51.0,17:51.0,3,65
19,"Bankura, Bankura 1",,19,18:17.0,18:17.0,1,1
20,"Bankura, Sonamukhi",,20,19:43.0,19:43.0,1,20
21,Purulia,,21,20:38.0,20:38.0,15,262
22,Purulia,,22,20:55.0,20:55.0,15,262
23,Paschim Medinipur,,23,21:49.0,21:49.0,11,170
24,Paschim Medinipur,,24,22:03.0,22:03.0,11,170
25,Purba Medinipur,,25,22:48.0,22:48.0,12,203
26,Burdwan,,26,23:41.0,23:41.0,2,24
27,Burdwan,,27,24:02.0,24:02.0,2,24
28,Hooghly,,28,24:32.0,24:32.0,6,117
29,Hooghly,,29,24:54.0,24:54.0,6,117
30,Howrah,,30,25:35.0,25:35.0,5,89
31,Howrah,,31,25:45.0,25:45.0,5,89
32,Nadia,,32,26:20.0,26:20.0,14,244
33,Nadia,,33,26:35.0,26:35.0,14,244
34,North 24 Parganas,,34,27:10.0,27:10.0,16,283
35,North 24 Parganas,,35,27:23.0,27:23.0,16,283
36,South 24 Parganas,,36,28:22.0,28:22.0,17,306
37,South 24 Parganas,,37,28:39.0,28:39.0,17,306
40,Chinsura,,40,50:53.6,50:53.6,6,103
38,South 24 Parganas,,,29:02.0,32:49.2,17,306
41,South 24 Parganas,,38,32:49.2,32:49.2,17,306
44,Howrah,,43,52:25.4,52:25.4,5,93
45,South 24 Parganas,,44,53:02.6,53:02.6,17,306
46,North 24 Parganas,,45,53:48.2,53:48.2,16,283
47,Jalpaiguri,,46,54:52.2,54:52.2,7,125
48,Darjeeling,,47,55:24.1,55:24.1,4,84
49,Birbhum,,48,11:28.7,11:28.7,3,65
50,South 24 Parganas,,49,20:18.8,20:18.8,17,306
51,Birbhum,,50,44:54.7,44:54.7,3,65
52,Paschim Medinipur,,51,59:14.4,59:14.4,11,170
17,Burdwan,,17,17:07.0,17:07.0,3,24
53,North 24 Parganas,,52,24:05.7,24:05.7,16,283
54,North 24 Parganas,,53,36:20.0,36:20.0,16,283
55,Paschim Medinipur,,54,21:22.4,21:22.4,11,187
56,North 24 Parganas,,55,45:40.6,45:40.6,16,286
57,,,56,31:15.5,31:15.5,2,356
58,,,57,53:44.7,53:44.7,2,24
59,South 24 Parganas,,58,15:15.5,15:15.5,17,306
60,Purba Medinipur,,59,53:17.3,53:17.3,12,203
61,Murshidabad,,60,42:42.8,42:42.8,13,222
62,Murshidabad ,,61,41:23.7,41:23.7,13,222
63,Murshidabad,,62,07:24.0,07:24.0,13,222
64,Nadia,,63,54:37.0,54:37.0,14,244
65,Murshidabad,,64,01:50.6,01:50.6,13,222
66,,,65,44:43.6,44:43.6,14,244
67,Nadia,,66,19:49.6,19:49.6,14,244
68,,,67,51:06.7,51:06.7,13,222
69,Murshidabad,,68,12:58.3,12:58.3,13,222
70,Paschim Medinipur,,69,14:26.3,14:26.3,11,170
