0,1,2,3,4,5,6,7,8,9
1,BANKURA - I,1,1,28:09.0,28:09.0,1161,1061,970,4920
2,BANKURA - II,2,1,28:09.0,28:09.0,574,556,555,3322
3,CHATNA,3,1,28:09.0,28:09.0,2433,2304,2311,26817
4,SALTORA,4,1,28:09.0,28:09.0,815,743,745,6970
5,MAJHIA,5,1,28:09.0,28:09.0,1614,1460,1451,6596
6,GANGAJALGHATI,6,1,28:09.0,28:09.0,1733,1733,1606,8925
7,BARJORA,7,1,28:09.0,28:09.0,2411,2225,2137,7809
8,ONDA,8,1,28:09.0,28:09.0,3388,3155,3151,14197
9,TALDANGRA,9,1,28:09.0,28:09.0,1315,1190,1129,5008
10,SIMLIPAL,10,1,28:09.0,28:09.0,5689,5439,4500,15952
11,KHATRA,11,1,28:09.0,28:09.0,1012,973,941,3001
12,HIRABANDH,12,1,28:09.0,28:09.0,900,767,721,3044
13,INDPUR,13,1,28:09.0,28:09.0,1453,1285,1232,4554
14,RAIPUR - I,14,1,28:09.0,28:09.0,445,438,438,770
15,SARENGA,15,1,28:09.0,01:24.1,578,540,511,651
16,RANIBANDH,16,1,28:09.0,28:09.0,843,843,819,2447
17,BISHNUPUR,17,1,28:09.0,28:09.0,3979,3961,3368,6109
18,JOYPUR,18,1,28:09.0,28:09.0,2369,2366,2249,8393
19,KOTOLPUR,19,1,28:09.0,28:09.0,3000,2983,2643,6586
20,SONAMUKHI,20,1,28:09.0,28:09.0,3138,2770,2801,12701
21,PATRASHYAR,21,1,28:09.0,28:09.0,2811,2340,2309,11835
22,INDUS,22,1,28:09.0,28:09.0,2213,2055,2007,4737
24,BARDWAN - I,1,2,28:09.0,28:09.0,6274,6245,5563,21178
25,MEMARI - I,2,2,28:09.0,28:09.0,5371,4958,4640,23001
26,MEMARI - II,3,2,28:09.0,28:09.0,6389,6221,5382,19937
27,JAMALPUR,4,2,28:09.0,28:09.0,6645,5906,5801,55725
28,RAINA - I,5,2,28:09.0,28:09.0,7075,6919,6536,35716
29,RAINA - II,6,2,28:09.0,28:09.0,7137,7075,6913,75165
30,KHANDAKOSH,7,2,28:09.0,28:09.0,7460,7205,6868,15652
31,BHATAR,8,2,28:09.0,28:09.0,10965,10891,10358,41851
32,AUSHGRAM - I,9,2,28:09.0,28:09.0,4984,4866,4864,33516
33,AUSHGRAM - II,10,2,28:09.0,28:09.0,4570,4536,4102,10300
34,GALSI - II,11,2,28:09.0,28:09.0,6392,6240,6203,45691
35,GALSI - I,12,2,28:09.0,28:09.0,6933,6653,6263,43668
36,KANKSA,13,2,28:09.0,28:09.0,2862,2578,2369,9039
37,FARIDPUR DURGAPUR,14,2,28:09.0,28:09.0,1286,1199,993,14418
39,RANIGUNJ,16,2,28:09.0,28:09.0,237,231,228,2134
40,JAMURIA,17,2,28:09.0,28:09.0,1467,1410,1373,10016
41,BARABANI,19,2,28:10.0,28:10.0,2138,1114,1112,11054
42,SALANPUR,20,2,28:10.0,28:10.0,656,643,620,3628
43,KATWA - I,24,2,28:10.0,28:10.0,4402,4397,3962,17840
44,KATWA - II,25,2,28:10.0,28:10.0,5538,5373,5360,19808
45,KETUGRAM - I,26,2,28:10.0,28:10.0,5656,5634,5493,15498
46,KETUGRAM - II,27,2,28:10.0,28:10.0,6440,5791,5654,22192
47,MONGOLKOT,28,2,28:10.0,28:10.0,9644,9530,9079,61879
48,KALNA - I,29,2,28:10.0,28:10.0,5172,5163,4850,20722
49,KALNA- II,30,2,28:10.0,28:10.0,5210,5153,4684,20153
50,PURBASTHALI - I,31,2,28:10.0,28:10.0,5450,5438,4846,28320
51,PURBASTHALI - II,32,2,28:10.0,28:10.0,6297,6281,6269,31115
52,MONTESWAR,33,2,28:10.0,28:10.0,9709,9120,8119,11827
53,PANDABESHWAR,34,2,28:10.0,28:10.0,79,79,79,634
55,NALHATI - I,1,3,28:10.0,28:10.0,5833,4939,2035,7884
