0,1,2,3,4,5,6
6307,6307,6393.0,442,,2015-12-15 09:46:35,2015-12-15 09:46:35
6308,6308,6392.0,339,,2015-12-15 09:46:48,2015-12-15 09:46:48
6309,6309,6395.0,4191,,2015-12-15 09:48:48,2015-12-15 09:48:48
6310,6310,6396.0,1312,,2015-12-15 09:49:31,2015-12-15 09:49:31
6312,6312,6396.0,1314,,2015-12-15 09:49:33,2015-12-15 09:49:33
6314,6314,6396.0,1315,,2015-12-15 09:49:35,2015-12-15 09:49:35
6315,6315,6399.0,156,,2015-12-15 09:49:36,2015-12-15 09:49:36
6316,6316,6397.0,578,,2015-12-15 09:49:51,2015-12-15 09:49:51
6317,6317,6401.0,1422,,2015-12-15 09:50:52,2015-12-15 09:50:52
6318,6318,6398.0,307,,2015-12-15 09:51:07,2015-12-15 09:51:07
6319,6319,6400.0,775,,2015-12-15 09:51:24,2015-12-15 09:51:24
6320,6320,6402.0,4139,,2015-12-15 09:51:46,2015-12-15 09:51:46
6323,6323,6405.0,834,,2015-12-15 09:54:33,2015-12-15 09:54:33
6324,6324,6407.0,100,,2015-12-15 09:55:24,2015-12-15 09:55:24
6325,6325,6403.0,722,,2015-12-15 09:55:54,2015-12-15 09:55:54
6326,6326,6403.0,773,,2015-12-15 09:56:12,2015-12-15 09:56:12
6327,6327,6403.0,770,,2015-12-15 09:56:14,2015-12-15 09:56:14
6330,6330,6406.0,310,,2015-12-15 09:57:17,2015-12-15 09:57:17
6331,6331,6410.0,196,,2015-12-15 09:59:39,2015-12-15 09:59:39
6332,6332,6409.0,4233,,2015-12-15 10:00:27,2015-12-15 10:00:27
6335,6335,6414.0,794,,2015-12-15 10:01:35,2015-12-15 10:01:35
6336,6336,6415.0,164,,2015-12-15 10:02:03,2015-12-15 10:02:03
6337,6337,6416.0,1426,,2015-12-15 10:02:57,2015-12-15 10:02:57
6338,6338,6413.0,805,,2015-12-15 10:03:52,2015-12-15 10:03:52
6339,6339,6413.0,806,,2015-12-15 10:03:55,2015-12-15 10:03:55
6342,6342,6418.0,628,,2015-12-15 10:04:18,2015-12-15 10:04:18
6343,6343,6419.0,5019,,2015-12-15 10:06:11,2015-12-15 10:06:11
6344,6344,6421.0,121,,2015-12-15 10:07:15,2015-12-15 10:07:15
