id,farmer_id,soil_sample_id,plot_dag_number,remarks,created_at,updated_at
20669,20669,18294,320,,2015-12-31 09:36:09.000000,2015-12-31 09:36:09.000000
22099,22099,19417,106,,2016-01-02 06:01:28.000000,2016-01-02 06:01:28.000000
22807,22807,20075,245,,2016-01-02 11:46:11.000000,2016-01-02 11:46:11.000000
22911,22911,20162,121,,2016-01-03 06:14:19.000000,2016-01-03 06:14:19.000000
29243,29243,25699,1114,,2016-01-13 06:15:50.000000,2016-01-13 06:15:50.000000
29956,29956,26464,18,,2016-01-14 06:50:41.000000,2016-01-14 06:50:41.000000
34635,34635,31096,150,,2016-01-24 07:03:02.000000,2016-01-24 07:03:02.000000
48446,65272,67066,55,,2016-04-01 07:38:38.781080,2016-04-01 07:38:38.781080
48447,65273,67066,55,,2016-04-01 07:38:38.787727,2016-04-01 07:38:38.787727
48448,65274,67066,55,,2016-04-01 07:38:38.794774,2016-04-01 07:38:38.794774
48449,65275,67066,55,,2016-04-01 07:38:38.800716,2016-04-01 07:38:38.800716
48495,65321,67096,89,,2016-04-01 08:13:48.863639,2016-04-01 08:13:48.863639
48496,65322,67096,89,,2016-04-01 08:13:48.870919,2016-04-01 08:13:48.870919
48497,65323,67096,89,,2016-04-01 08:13:48.878103,2016-04-01 08:13:48.878103
48498,65324,67096,89,,2016-04-01 08:13:48.885317,2016-04-01 08:13:48.885317
48417,65243,67048,1,,2016-04-01 07:20:00.122542,2016-04-01 07:20:00.122542
48418,65244,67048,1,,2016-04-01 07:20:00.130280,2016-04-01 07:20:00.130280
48419,65245,67048,1,,2016-04-01 07:20:00.137976,2016-04-01 07:20:00.137976
48420,65246,67048,1,,2016-04-01 07:20:00.145443,2016-04-01 07:20:00.145443
48999,65826,67492,770,,2016-04-03 11:36:17.552781,2016-04-03 11:36:17.552781
48994,65821,67488,1205,,2016-04-03 11:29:31.395188,2016-04-03 11:29:31.395188
48995,65822,67488,617,,2016-04-03 11:29:31.399597,2016-04-03 11:29:31.399597
48933,65760,67429,00,,2016-04-03 10:14:15.237594,2016-04-03 10:14:15.237594
48949,65776,67445,805,,2016-04-03 10:37:58.233119,2016-04-03 10:37:58.233119
48953,65780,67449,87,,2016-04-03 10:42:25.220672,2016-04-03 10:42:25.220672
48827,65654,67318,391,,2016-04-02 07:01:27.758601,2016-04-02 07:01:27.758601
48828,65655,67318,391,,2016-04-02 07:01:27.767182,2016-04-02 07:01:27.767182
48829,65656,67318,391,,2016-04-02 07:01:27.776001,2016-04-02 07:01:27.776001
48830,65657,67318,391,,2016-04-02 07:01:27.785833,2016-04-02 07:01:27.785833
48946,65773,67442,2690,,2016-04-03 10:34:11.351298,2016-04-03 10:34:11.351298
48938,65765,67434,1620,,2016-04-03 10:20:01.469128,2016-04-03 10:20:01.469128
48942,65769,67438,114,,2016-04-03 10:26:27.122299,2016-04-03 10:26:27.122299
48975,65802,67470,108,,2016-04-03 11:07:45.238861,2016-04-03 11:07:45.238861
119222,136054,86363,201,,2016-05-17 08:00:17.923879,2016-05-17 08:00:17.923879
120730,137562,86754,278,,2016-05-17 11:08:35.268839,2016-05-17 11:08:35.268839
121080,137912,86841,281,,2016-05-17 11:49:05.019561,2016-05-17 11:49:05.019561
120820,137652,86767,154,,2016-05-17 11:18:14.752391,2016-05-17 11:18:14.752391
120987,137819,86805,182,,2016-05-17 11:33:36.179651,2016-05-17 11:33:36.179651
121134,137966,86866,149,,2016-05-17 12:04:21.246450,2016-05-17 12:04:21.246450
121146,137978,86877,204,,2016-05-17 12:13:36.034842,2016-05-17 12:13:36.034842
127448,144280,88183,04,,2016-05-19 10:07:05.481561,2016-05-19 10:07:05.481561
126681,143513,88020,04,,2016-05-19 06:35:00.497683,2016-05-19 06:35:00.497683
126700,143532,88028,09,,2016-05-19 06:42:02.410255,2016-05-19 06:42:02.410255
127368,144200,88164,16,,2016-05-19 09:54:32.046861,2016-05-19 09:54:32.046861
157967,174799,96738,24,,2016-05-31 07:13:24.196984,2016-05-31 07:13:24.196984
158311,175143,96844,25,,2016-05-31 07:54:29.067389,2016-05-31 07:54:29.067389
88,88,300,fyx,,2015-11-05 13:52:36.000000,2015-11-05 13:52:36.000000
22321,22321,19614,07,,2016-01-02 06:57:06.000000,2016-01-02 06:57:06.000000
22450,22450,19740,93,,2016-01-02 07:28:43.000000,2016-01-02 07:28:43.000000
22495,22495,19788,81,,2016-01-02 07:41:35.000000,2016-01-02 07:41:35.000000
29205,29205,25659,325,,2016-01-13 05:48:13.000000,2016-01-13 05:48:13.000000
29557,29557,26023,64,,2016-01-13 08:41:22.000000,2016-01-13 08:41:22.000000
29618,29618,26095,36,,2016-01-13 09:00:33.000000,2016-01-13 09:00:33.000000
48156,64982,66824,113,,2016-03-31 10:03:39.930170,2016-03-31 10:03:39.930170
48157,64983,66824,113,,2016-03-31 10:03:39.937949,2016-03-31 10:03:39.937949
48158,64984,66824,113,,2016-03-31 10:03:39.944837,2016-03-31 10:03:39.944837
48159,64985,66824,113,,2016-03-31 10:03:39.951534,2016-03-31 10:03:39.951534
48339,65165,66983,80,,2016-04-01 06:32:21.202337,2016-04-01 06:32:21.202337
48340,65166,66983,80,,2016-04-01 06:32:21.209884,2016-04-01 06:32:21.209884
48341,65167,66983,80,,2016-04-01 06:32:21.216433,2016-04-01 06:32:21.216433
48342,65168,66983,80,,2016-04-01 06:32:21.222918,2016-04-01 06:32:21.222918
48992,65819,67486,428,,2016-04-03 11:27:01.372236,2016-04-03 11:27:01.372236
48924,65751,67420,1541,,2016-04-03 09:48:41.792230,2016-04-03 09:48:41.792230
48966,65793,67461,2019,,2016-04-03 10:55:34.055135,2016-04-03 10:55:34.055135
48997,65824,67490,1240,,2016-04-03 11:32:29.648673,2016-04-03 11:32:29.648673
48925,65752,67421,15,,2016-04-03 09:50:11.703937,2016-04-03 09:50:11.703937
48922,65749,67418,1114,,2016-04-03 09:46:00.987009,2016-04-03 09:46:00.987009
48868,65695,67328,88,,2016-04-02 07:45:39.051220,2016-04-02 07:45:39.051220
48869,65696,67328,88,,2016-04-02 07:45:39.059558,2016-04-02 07:45:39.059558
48870,65697,67328,88,,2016-04-02 07:45:39.068453,2016-04-02 07:45:39.068453
48871,65698,67328,88,,2016-04-02 07:45:39.076247,2016-04-02 07:45:39.076247
48986,65813,67480,1182,,2016-04-03 11:19:59.115945,2016-04-03 11:19:59.115945
48951,65778,67447,0,,2016-04-03 10:40:14.063018,2016-04-03 10:40:14.063018
48968,65795,67463,707,,2016-04-03 10:58:55.397916,2016-04-03 10:58:55.397916
48989,65816,67483,776,,2016-04-03 11:23:55.890150,2016-04-03 11:23:55.890150
48860,65687,67326,100,,2016-04-02 07:36:40.277043,2016-04-02 07:36:40.277043
48861,65688,67326,100,,2016-04-02 07:36:40.286173,2016-04-02 07:36:40.286173
48862,65689,67326,100,,2016-04-02 07:36:40.294309,2016-04-02 07:36:40.294309
48863,65690,67326,100,,2016-04-02 07:36:40.301863,2016-04-02 07:36:40.301863
118539,135371,86203,115,,2016-05-17 07:13:59.715373,2016-05-17 07:13:59.715373
118959,135791,86304,190,,2016-05-17 07:42:04.023564,2016-05-17 07:42:04.023564
118555,135387,86208,140,,2016-05-17 07:16:04.272939,2016-05-17 07:16:04.272939
118725,135557,86243,103,,2016-05-17 07:24:38.928175,2016-05-17 07:24:38.928175
119758,136590,86491,301,,2016-05-17 08:55:31.084750,2016-05-17 08:55:31.084750
121092,137924,86845,299,,2016-05-17 11:51:32.599094,2016-05-17 11:51:32.599094
121136,137968,86868,159,,2016-05-17 12:05:55.701257,2016-05-17 12:05:55.701257
127380,144212,88166,11,,2016-05-19 09:57:07.506646,2016-05-19 09:57:07.506646
126696,143528,88022,05,,2016-05-19 06:36:20.771253,2016-05-19 06:36:20.771253
126665,143497,88019,03,,2016-05-19 06:33:30.638327,2016-05-19 06:33:30.638327
126809,143641,88045,16,,2016-05-19 06:55:46.080217,2016-05-19 06:55:46.080217
127461,144293,88190,07,,2016-05-19 10:11:23.129129,2016-05-19 10:11:23.129129
127423,144255,88179,02,,2016-05-19 10:04:16.470321,2016-05-19 10:04:16.470321
157835,174667,96713,21,,2016-05-31 06:54:36.574854,2016-05-31 06:54:36.574854
157512,174344,96636,05,,2016-05-31 06:16:50.832837,2016-05-31 06:16:50.832837
157660,174492,96675,15,,2016-05-31 06:30:36.822065,2016-05-31 06:30:36.822065
157797,174629,96704,19,,2016-05-31 06:50:48.271932,2016-05-31 06:50:48.271932
230928,247760,119775,147,,2016-06-22 06:54:27.757928,2016-06-22 06:54:27.757928
50,50,206,cbdhfhjlhk,,2015-11-05 08:28:12.000000,2015-11-05 08:28:12.000000
19755,19755,17479,111,,2015-12-31 07:34:06.000000,2015-12-31 07:34:06.000000
22054,22054,19377,112,,2016-01-02 05:41:14.000000,2016-01-02 05:41:14.000000
29218,29218,25675,75,,2016-01-13 06:01:11.000000,2016-01-13 06:01:11.000000
29278,29278,25732,1118,,2016-01-13 06:42:15.000000,2016-01-13 06:42:15.000000
29986,29986,26494,375,,2016-01-14 07:05:03.000000,2016-01-14 07:05:03.000000
30044,30044,26549,64,,2016-01-14 07:30:45.000000,2016-01-14 07:30:45.000000
30300,30300,26777,24,,2016-01-14 08:47:50.000000,2016-01-14 08:47:50.000000
30574,30574,27074,502,,2016-01-15 03:38:25.000000,2016-01-15 03:38:25.000000
48560,65386,67131,115,,2016-04-01 08:48:15.614998,2016-04-01 08:48:15.614998
48561,65387,67131,115,,2016-04-01 08:48:15.621169,2016-04-01 08:48:15.621169
48562,65388,67131,115,,2016-04-01 08:48:15.626516,2016-04-01 08:48:15.626516
48563,65389,67131,115,,2016-04-01 08:48:15.632848,2016-04-01 08:48:15.632848
48395,65221,67034,76,,2016-04-01 07:07:57.570237,2016-04-01 07:07:57.570237
48396,65222,67034,76,,2016-04-01 07:07:57.573669,2016-04-01 07:07:57.573669
48397,65223,67034,76,,2016-04-01 07:07:57.576936,2016-04-01 07:07:57.576936
48398,65224,67034,76,,2016-04-01 07:07:57.580076,2016-04-01 07:07:57.580076
48931,65758,67427,1018,,2016-04-03 10:11:47.558143,2016-04-03 10:11:47.558143
48959,65786,67455,1245,,2016-04-03 10:48:39.498595,2016-04-03 10:48:39.498595
48928,65755,67424,2201,,2016-04-03 09:56:36.763912,2016-04-03 09:56:36.763912
48962,65789,67457,22,,2016-04-03 10:51:26.447971,2016-04-03 10:51:26.447971
48996,65823,67489,1135,,2016-04-03 11:30:25.997006,2016-04-03 11:30:25.997006
48948,65775,67444,108,,2016-04-03 10:36:34.784311,2016-04-03 10:36:34.784311
48970,65797,67465,1212,,2016-04-03 11:01:05.469161,2016-04-03 11:01:05.469161
48982,65809,67476,120,,2016-04-03 11:14:23.066590,2016-04-03 11:14:23.066590
48932,65759,67428,1714,,2016-04-03 10:13:07.910108,2016-04-03 10:13:07.910108
48844,65671,67322,76,,2016-04-02 07:18:04.925326,2016-04-02 07:18:04.925326
48845,65672,67322,76,,2016-04-02 07:18:04.935966,2016-04-02 07:18:04.935966
48846,65673,67322,76,,2016-04-02 07:18:04.944590,2016-04-02 07:18:04.944590
48847,65674,67322,76,,2016-04-02 07:18:04.952287,2016-04-02 07:18:04.952287
48935,65762,67431,00,,2016-04-03 10:16:07.390333,2016-04-03 10:16:07.390333
48977,65804,67472,524,,2016-04-03 11:09:57.365724,2016-04-03 11:09:57.365724
48950,65777,67446,3011,,2016-04-03 10:39:13.747966,2016-04-03 10:39:13.747966
118453,135285,86177,101,,2016-05-17 07:07:32.272882,2016-05-17 07:07:32.272882
118511,135343,86196,120,,2016-05-17 07:11:05.116483,2016-05-17 07:11:05.116483
118648,135480,86226,137,,2016-05-17 07:20:53.420669,2016-05-17 07:20:53.420669
118684,135516,86239,111,,2016-05-17 07:23:08.378168,2016-05-17 07:23:08.378168
118818,135650,86267,129,,2016-05-17 07:32:09.941022,2016-05-17 07:32:09.941022
118736,135568,86245,125,,2016-05-17 07:25:44.189395,2016-05-17 07:25:44.189395
119060,135892,86325,200,,2016-05-17 07:48:32.964885,2016-05-17 07:48:32.964885
119776,136608,86495,272,,2016-05-17 08:58:34.628721,2016-05-17 08:58:34.628721
119793,136625,86503,325,,2016-05-17 09:01:46.322754,2016-05-17 09:01:46.322754
119961,136793,86547,177,,2016-05-17 09:25:48.497650,2016-05-17 09:25:48.497650
120886,137718,86783,119,,2016-05-17 11:24:39.774315,2016-05-17 11:24:39.774315
121116,137948,86854,294,,2016-05-17 11:56:20.765426,2016-05-17 11:56:20.765426
119953,136785,86542,158,,2016-05-17 09:24:28.469028,2016-05-17 09:24:28.469028
121099,137931,86849,263,,2016-05-17 11:52:52.772342,2016-05-17 11:52:52.772342
121104,137936,86851,284,,2016-05-17 11:54:06.431248,2016-05-17 11:54:06.431248
120668,137500,86740,144,,2016-05-17 11:03:51.098185,2016-05-17 11:03:51.098185
121048,137880,86826,219,,2016-05-17 11:42:05.719391,2016-05-17 11:42:05.719391
121124,137956,86859,121,,2016-05-17 11:59:22.862684,2016-05-17 11:59:22.862684
126737,143569,88031,11,,2016-05-19 06:44:47.523282,2016-05-19 06:44:47.523282
127411,144243,88174,12,,2016-05-19 10:01:08.955545,2016-05-19 10:01:08.955545
126824,143656,88046,17,,2016-05-19 06:57:01.058643,2016-05-19 06:57:01.058643
