id,crop_reference_id,nitrogen,phosphorus,potassium,sulphur,zinc,boron,iron,manganese,copper,organic_manure,biofertiliser,lime,gypsum,created_at,updated_at,result_id,mixed_fertilizer_urea,mixed_fertilizer_ssp,mixed_fertilizer_mop,mixed_fertilizer_required
3029,115,43,63,17,4 kg/acre at land preparation,10 kg/ acre at land preparation,,Ferrous sulfate @ 6  kg/acre ,,Foliar spray of 0.025 % solution of copper sulphate (pentahydrate) ,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 07:33:58.724398,2016-05-02 06:54:58.539188,1001,35,0,0,39
3028,168,104,175,47,8 kg/ acre at land preparation,10 kg/ acre at land preparation,,Ferrous sulfate @ 6  kg/acre ,,Foliar spray of 0.025 % solution of copper sulphate (pentahydrate) ,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 07:33:58.708123,2016-05-02 06:54:58.548816,1001,81,0,0,108
14214,173,130,250,67,,,,,,,FYM 2 Ton/Acre,Azophos 6 Kg/Acre,400 Kg/Acre,,2016-05-06 06:58:56.022412,2016-05-06 06:58:56.022412,5509,97,0,0,154
14215,60,52,75,20,,,,,,,FYM 2 Ton/Acre,Azophos 6 Kg/Acre,400 Kg/Acre,,2016-05-06 06:58:56.036957,2016-05-06 06:58:56.036957,5509,42,0,0,46
3181,167,174,375,100,8 kg/ acre at land preparation,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 08:36:48.845510,2016-05-02 06:54:56.513510,1059,123,0,0,231
3180,114,113,163,47,8 kg/ acre at land preparation,,Borax @4 kg / acre at land preparation,,,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 08:36:48.823020,2016-05-02 06:54:56.523113,1059,91,0,3,100
3173,60,61,88,23,,,,,Spray of 0.5% manganese sulphate solution,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 08:34:37.009699,2016-05-02 06:54:56.615368,1056,49,0,0,54
3172,115,43,63,17,,,,,Spray of 0.5% manganese sulphate solution,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 08:34:36.989792,2016-05-02 06:54:56.624369,1056,35,0,0,39
3171,172,87,125,33,,,,,Spray of 0.5% manganese sulphate solution,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 08:34:36.972270,2016-05-02 06:54:56.633860,1056,70,0,0,77
3170,167,174,375,100,,,,,Spray of 0.5% manganese sulphate solution,,FYM 2 Ton/Acre,Azotobactor & PSB @ 3Kg/acre each,400 Kg/Acre,,2016-04-15 08:34:36.954439,2016-05-02 06:54:56.643239,1056,123,0,0,231
