id,name,created_at,updated_at,tests_count,tested_sample_count
29,"Hooghly 2 - KVK Chinsurah, Hooghly",2016-02-25 05:24:54.000000,2016-02-25 05:24:54.000000,10,0
8,Coochbehar 2 - KVK Coochbehar,2016-02-25 05:09:32.000000,2016-02-25 05:09:32.000000,1,1
35,"North 24 Parganas 2 - KVK Ashokenagar, North 24 Parganas",2016-02-25 05:27:23.000000,2016-02-25 05:27:23.000000,20,0
28,Hooghly 1 - STL Burdwan,2016-02-25 05:24:32.000000,2016-02-25 05:24:32.000000,19,0
18,"Birbhum 2 - KVK Sriniketan, Birbhum",2016-02-25 05:17:51.000000,2016-02-25 05:17:51.000000,1204,92
20,"Bankura 2 - KVK Sonamukhi, Bankura",2016-02-25 05:19:43.000000,2016-02-25 05:19:43.000000,0,0
23,Paschim Medinipur 1 -  STL Paschim Medinipore,2016-02-25 05:21:49.000000,2016-02-25 05:21:49.000000,106561,95977
21,Purulia 1 - STL Purulia,2016-02-25 05:20:38.000000,2016-02-25 05:20:38.000000,23296,22370
17,Birbhum 1 - STL Burdwan,2016-02-25 05:17:07.000000,2016-02-25 05:17:07.000000,2216,1733
2,Darjeeling 2 - KVK Kalimpong,2016-02-18 10:17:11.000000,2016-02-18 10:17:11.000000,2,0
3,Darjeeling 3 - STL Coochbehar,2016-02-22 05:07:31.000000,2016-02-22 05:07:31.000000,80,80
14,"Malda 2 - KVK Ratua, Malda",2016-02-25 05:14:46.000000,2016-02-25 05:14:46.000000,0,0
22,"Purulia 2 - KVK Kalayan, Purulia",2016-02-25 05:20:55.000000,2016-02-25 05:20:55.000000,1,0
31,"Howrah 2 - KVK Jagatballvpur, Howrah",2016-02-25 05:25:45.000000,2016-02-25 05:25:45.000000,695,694
66,Nadia 5 - STL Purulia,2017-06-16 05:19:49.555814,2017-06-16 05:19:49.555814,1241,912
33,"Nadia 2 - KVK Gayeshpur, Nadia ",2016-02-25 05:26:35.000000,2016-02-25 05:26:35.000000,57,0
53,North 24 Parganas 5 - STL VIB Nimpith,2017-02-15 06:36:19.965474,2017-02-15 06:36:19.965474,1134,1134
37,"South 24 Parganas 2 - KVK Nimpith, South 24 Parganas",2016-02-25 05:28:39.000000,2016-02-25 05:28:39.000000,13,11
27,"Burdwan 2 - KVK Budbud, Burdwan",2016-02-25 05:24:02.000000,2016-02-25 05:24:02.000000,84,0
38,"South 24 Parganas 3 - KVK Narendrapur, South 24 Parganas",2016-02-25 05:29:02.000000,2016-06-28 13:32:49.214900,0,0
44,South 24 Parganas 4 - STL Bankura,2016-06-28 13:53:02.577099,2016-06-28 13:53:02.577099,1,0
45,North 24 Parganas 3 - STL Bankura,2016-06-28 13:53:48.166237,2016-06-28 13:53:48.166237,0,0
47,Darjeeling 4 - Vivek NGO,2016-06-28 13:55:24.060681,2016-06-28 13:55:24.060681,528,525
49,South 24 Parganas 5 - STL VIB Nimpith,2016-09-19 06:20:18.811769,2016-09-19 06:20:18.811769,3157,3157
43,Howrah 3 - STL Bankura,2016-06-28 13:52:25.443912,2016-06-28 13:52:25.443912,2,0
52,North 24 Parganas 4 - SHAMAYITA MATH,2017-02-14 10:24:05.651036,2017-02-14 10:24:05.651036,0,0
60,Murshidabad 3 - STL Purulia,2017-06-01 04:42:42.833534,2017-06-01 04:42:42.833534,7339,6386
55,North 24 Parganas 6 -  STL Purulia,2017-04-04 04:45:40.620047,2017-04-04 04:45:40.620047,0,0
30,Howrah 1 - STL Tollygunge,2016-02-25 05:25:34.000000,2016-02-25 05:25:34.000000,22132,17450
50,Birbhum 4 - STL Bankura,2017-02-09 04:44:54.676929,2017-02-09 04:44:54.676929,205,186
51,Paschim Medinipur 3 - STL Bankura,2017-02-13 11:59:14.366140,2017-02-13 11:59:14.366140,8790,8765
63,Nadia 3 - STL Tollygunge,2017-06-14 04:54:37.013287,2017-06-14 04:54:37.013287,1395,1362
57,Burdwan 4 - STL Bankura,2017-05-17 10:53:44.719127,2017-05-17 10:53:44.719127,4187,4021
1,Darjeeling 1 - STL Kalimpong,2016-02-18 10:16:33.000000,2016-02-18 10:16:33.000000,8293,321
12,Dakshin Dinajpur 2 - K.V.K. Majhian,2016-02-25 05:13:21.000000,2016-02-25 05:13:21.000000,192,0
26,Burdwan 1 - STL Burdwan,2016-02-25 05:23:41.000000,2016-02-25 05:23:41.000000,138880,130413
10,Uttar Dinajpur 2 - KVK Uttar Dinajpur,2016-02-25 05:10:50.000000,2016-02-25 05:10:50.000000,236,8
