id,name,jl_number,block_id,created_at,updated_at
10718,Parbatipur,052,89,2015-11-04 18:31:29.000000,2017-03-29 06:29:54.180723
10723,Madhya Santoshpur,055,89,2015-11-04 18:31:29.000000,2017-03-29 06:34:05.172032
10714,Mansinghapur,050,89,2015-11-04 18:31:29.000000,2017-03-29 06:34:13.696157
46147,Krishnanandapur,020,89,2017-03-29 06:35:34.941684,2017-03-29 06:35:34.941684
10635,Kolora,020,88,2015-11-04 18:31:28.000000,2017-03-29 06:36:29.817798
46148,Parasia,074,40,2017-04-03 09:56:36.354962,2017-04-03 09:56:36.354962
46149,Palashban,047,356,2017-04-03 09:57:13.381013,2017-04-03 09:57:13.381013
46150,Jamsol,048,40,2017-04-03 09:57:38.775569,2017-04-03 09:57:38.775569
5556,Berancha (Berua),004,31,2015-11-04 18:30:00.000000,2017-04-04 06:32:31.931851
46151,Hatgancha,189,49,2017-04-04 07:07:30.985112,2017-04-04 07:07:30.985112
39390,Gobindapur,114,316,2015-11-04 18:40:27.000000,2017-04-07 07:30:01.761816
39392,Purba Bantra,113,316,2015-11-04 18:40:27.000000,2017-04-07 07:31:03.952330
46152,Pashchim Shyamnagar,115,316,2017-04-07 07:39:38.057731,2017-04-07 07:39:38.057731
46154,Banshidharpur,208,316,2017-04-07 07:40:19.868615,2017-04-07 07:40:19.868615
46155,Gangra,498,182,2017-04-26 07:15:49.460795,2017-04-26 07:15:49.460795
46156,Khamarberia,497,182,2017-04-26 07:16:18.346433,2017-04-26 07:16:18.346433
46157,Chandpur,062,303,2017-05-08 05:11:45.720524,2017-05-08 05:11:45.720524
46158,Kansina,737,170,2017-05-08 06:12:52.761276,2017-05-08 06:12:52.761276
46159,Malda Khonda,010,349,2017-06-27 05:56:00.257830,2017-06-27 05:56:44.654663
42953,Birban,051,347,2015-11-04 18:41:27.000000,2017-07-14 07:51:39.039884
42970,Baro Singnath,067,347,2015-11-04 18:41:27.000000,2017-07-14 07:52:31.647307
46160,Baldivasa,207,347,2017-07-14 07:54:12.952212,2017-07-14 07:54:12.952212
46161,Gohara,208,347,2017-07-14 07:54:45.297115,2017-07-14 07:54:45.297115
46162,Ladhi,212,347,2017-07-14 07:55:13.916031,2017-07-14 07:55:13.916031
46163,Saatmeri,263,347,2017-07-14 07:55:38.782405,2017-07-14 07:55:38.782405
46164,Uttor Bashanatpur,290,347,2017-07-14 07:56:03.611037,2017-07-14 07:56:03.611037
46165,Binardaha,213,347,2017-07-14 07:56:31.584679,2017-07-14 07:56:31.584679
46166,Bhuindhar,214,347,2017-07-14 07:56:52.416411,2017-07-14 07:56:52.416411
46167,Jhangartoli,167,347,2017-07-14 07:57:13.980908,2017-07-14 07:57:13.980908
46168,Khamarpokhar,217,347,2017-07-14 07:57:35.915502,2017-07-14 07:57:35.915502
46169,Lohagachhi,216,347,2017-07-14 07:57:55.628770,2017-07-14 07:57:55.628770
46170,Ghoshpur Boura,023,306,2017-07-14 08:05:52.123460,2017-07-14 08:05:52.123460
21480,Protappur,062,172,2015-11-04 18:34:42.000000,2017-07-14 08:47:56.412575
46171,Walipur,207,172,2017-07-14 08:53:23.628692,2017-07-14 08:53:23.628692
46172,Sofiabad,202,172,2017-07-14 08:56:13.784903,2017-07-14 08:56:13.784903
46173,Sobhanipur,213,172,2017-07-14 08:56:43.898531,2017-07-14 08:56:43.898531
46174,Satkui,205,172,2017-07-14 08:59:09.044891,2017-07-14 08:59:09.044891
46175,Samraipur,123,172,2017-07-14 08:59:54.937863,2017-07-14 08:59:54.937863
46176,Rupnarayanpur,212,172,2017-07-14 09:00:49.015770,2017-07-14 09:00:49.015770
46177,Ruisonda,211,172,2017-07-14 09:01:22.815846,2017-07-14 09:01:22.815846
46178,Narayanpur,206,172,2017-07-14 09:01:49.727579,2017-07-14 09:01:49.727579
46179,Nangarchak,124,172,2017-07-14 09:02:13.678058,2017-07-14 09:02:13.678058
46180,Mohanpur,214,172,2017-07-14 09:02:46.108126,2017-07-14 09:02:46.108126
46181,Mobarakchak,210,172,2017-07-14 09:03:10.040434,2017-07-14 09:03:10.040434
46182,Matkatpur,203,172,2017-07-14 09:03:41.619877,2017-07-14 09:03:41.619877
46183,Lelua Kole,108,172,2017-07-14 09:04:05.622882,2017-07-14 09:04:05.622882
46184,Khanjorichak,125,172,2017-07-14 09:04:31.601244,2017-07-14 09:04:31.601244
46185,Keshpal,200,172,2017-07-14 09:04:56.539117,2017-07-14 09:04:56.539117
46186,Jinsahar,215,172,2017-07-14 09:05:20.381464,2017-07-14 09:05:20.381464
46187,Jharia,208,172,2017-07-14 09:05:51.822843,2017-07-14 09:05:51.822843
46188,Hajichak,204,172,2017-07-14 09:06:18.444773,2017-07-14 09:06:18.444773
46189,Gokulpur,120,172,2017-07-14 09:06:45.923076,2017-07-14 09:06:45.923076
46190,Doulatpur,198,172,2017-07-14 09:08:41.866122,2017-07-14 09:08:41.866122
46191,Dhangorpara,122,172,2017-07-14 09:09:46.179180,2017-07-14 09:09:46.179180
46192,Daimongachak,209,172,2017-07-14 09:11:12.174341,2017-07-14 09:11:12.174341
46193,Charipal,201,172,2017-07-14 09:11:33.410894,2017-07-14 09:11:33.410894
46194,Berkole,199,172,2017-07-14 09:12:01.775387,2017-07-14 09:12:01.775387
46195,Benasol,121,172,2017-07-14 09:12:27.850686,2017-07-14 09:12:27.850686
46196,Bargai,197,172,2017-07-14 09:12:50.990579,2017-07-14 09:12:50.990579
46197,Ajabpur,110,172,2017-07-14 09:13:40.656888,2017-07-14 09:13:40.656888
46198,Ajabgar,111,172,2017-07-14 09:14:04.581401,2017-07-14 09:14:04.581401
238,Kumaria,238,2,2015-11-04 18:28:20.000000,2015-11-04 18:28:20.000000
355,Parasia,039,3,2015-11-04 18:28:21.000000,2015-11-04 18:28:21.000000
710,Shiarbediya,106,4,2015-11-04 18:28:27.000000,2015-11-04 18:28:27.000000
711,Jhanka,107,4,2015-11-04 18:28:27.000000,2015-11-04 18:28:27.000000
947,Kapistha,115,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
948,Subarnator,116,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
949,Nishchintapur,117,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
950,Shaltora,118,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
951,Shalbedya,119,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
952,Madhabpur,120,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
953,Kallapur,121,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
954,Ramnagar,122,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
955,Suarara,123,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
956,Radhashyampur,124,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
957,Sankarara,125,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
958,Brahmanara,126,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
959,Charadihi,127,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
960,Rampur,128,6,2015-11-04 18:28:32.000000,2015-11-04 18:28:32.000000
963,Jemua,131,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
966,Jambedya,134,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
967,Bhiringgi,135,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
968,Barajuri,137,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
970,Dandulya,138,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
971,Ramkanali,139,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
974,Kenduabari,140,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
975,Arbat,141,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
976,Asanchua,142,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
978,Arjunpur,143,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
979,Biharjurya,144,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
980,Harekrishnapur,145,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
981,Brindabanpur,146,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
982,Atarya,147,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
984,Gobarddhanpur,148,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
985,Pirraboni,149,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
986,Dhabani Gobindapur,150,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
987,Radhakrishnapur,151,6,2015-11-04 18:28:33.000000,2015-11-04 18:28:33.000000
1311,Ola,109,8,2015-11-04 18:28:39.000000,2015-11-04 18:28:39.000000
1766,Badageria,128,10,2015-11-04 18:28:50.000000,2015-11-04 18:28:50.000000
1767,Maulakanda,129,10,2015-11-04 18:28:50.000000,2015-11-04 18:28:50.000000
2568,Ela,037,15,2015-11-04 18:29:03.000000,2015-11-04 18:29:03.000000
3768,Panjkona,051,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3769,Amrul,052,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3770,Abdulpur,053,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3771,Karisunda,054,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3772,Paharpur,055,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3773,Fatepur,056,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3774,Sanpura,057,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3775,Jagaldewip,058,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3776,Baragobindapur,059,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3777,Thakurani Pushkarini,060,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3778,Dasarathbati,061,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3779,Karardanga,062,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3780,Thakuranidighi,063,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3781,Dharampur,064,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3782,Charigram,065,22,2015-11-04 18:29:25.000000,2015-11-04 18:29:25.000000
3783,Indas,066,22,2015-11-04 18:29:26.000000,2015-11-04 18:29:26.000000
3784,Krishnabati,067,22,2015-11-04 18:29:26.000000,2015-11-04 18:29:26.000000
3785,Baikunthapur,068,22,2015-11-04 18:29:26.000000,2015-11-04 18:29:26.000000
3786,Dibakarbati,069,22,2015-11-04 18:29:26.000000,2015-11-04 18:29:26.000000
3787,Birshimul,070,22,2015-11-04 18:29:26.000000,2015-11-04 18:29:26.000000
3788,Sankrul,071,22,2015-11-04 18:29:26.000000,2015-11-04 18:29:26.000000
3789,Shuripushkarini,072,22,2015-11-04 18:29:26.000000,2015-11-04 18:29:26.000000
4862,Pilkhuri,001,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4863,Jagdabad,002,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4864,Mahinagar,003,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4865,Haldi,004,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4866,Kasiara,005,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4867,Patikirtipur,006,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4868,Gopalpur,007,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4869,Jiara,008,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4870,Alampur,009,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4871,Talit,010,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4872,Baghar,011,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4873,Nutangram,012,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4874,Amar,013,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4875,Chandul,014,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4876,Jhinguti,015,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4877,Nababhat,016,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4878,Usufabad,017,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
4879,Kashimpur,018,24,2015-11-04 18:29:47.000000,2015-11-04 18:29:47.000000
5079,Bara Polasan,008,26,2015-11-04 18:29:51.000000,2015-11-04 18:29:51.000000
5080,Dihi Palashan,009,26,2015-11-04 18:29:51.000000,2015-11-04 18:29:51.000000
5081,Kantabari,010,26,2015-11-04 18:29:51.000000,2015-11-04 18:29:51.000000
5082,Gorapur,011,26,2015-11-04 18:29:51.000000,2015-11-04 18:29:51.000000
5083,Bijur,012,26,2015-11-04 18:29:51.000000,2015-11-04 18:29:51.000000
5084,Kalyanpur,013,26,2015-11-04 18:29:51.000000,2015-11-04 18:29:51.000000
5085,Barari,014,26,2015-11-04 18:29:51.000000,2015-11-04 18:29:51.000000
5086,Kantipur,015,26,2015-11-04 18:29:51.000000,2015-11-04 18:29:51.000000
5087,Bangram,016,26,2015-11-04 18:29:51.000000,2015-11-04 18:29:51.000000
5088,Bhundul,017,26,2015-11-04 18:29:51.000000,2015-11-04 18:29:51.000000
5314,Jamui,017,28,2015-11-04 18:29:56.000000,2015-11-04 18:29:56.000000
5315,Fakirpur,018,28,2015-11-04 18:29:56.000000,2015-11-04 18:29:56.000000
5669,Ausgram,064,32,2015-11-04 18:30:01.000000,2015-11-04 18:30:01.000000
5670,Kunjanagar,065,32,2015-11-04 18:30:02.000000,2015-11-04 18:30:02.000000
5671,Kurumba,066,32,2015-11-04 18:30:02.000000,2015-11-04 18:30:02.000000
5672,Nabagram,067,32,2015-11-04 18:30:02.000000,2015-11-04 18:30:02.000000
5673,Mallickpur,068,32,2015-11-04 18:30:02.000000,2015-11-04 18:30:02.000000
5674,Silut,069,32,2015-11-04 18:30:02.000000,2015-11-04 18:30:02.000000
5675,Sahapur,070,32,2015-11-04 18:30:02.000000,2015-11-04 18:30:02.000000
5676,Babur Bandh,071,32,2015-11-04 18:30:02.000000,2015-11-04 18:30:02.000000
5677,Somaipur,072,32,2015-11-04 18:30:02.000000,2015-11-04 18:30:02.000000
5787,Bilshanda,081,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5791,Santla,085,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5792,Aowgram,086,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5793,Bagbati,087,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5794,Bhediya,088,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5795,Brahmandihi,089,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5796,Bhiti,091,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5797,Goalpata,123,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5798,Madanmohanpur,124,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5799,Samantapara,125,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5800,Chandipur,126,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5801,Sowata,127,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5802,Jamtara,128,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5803,Jayrampur,129,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5804,Erral,130,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5805,Bahadurpur,131,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5806,Avirampur,132,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5807,Bijaypur,137,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5808,Kalaijhuti,138,33,2015-11-04 18:30:04.000000,2015-11-04 18:30:04.000000
5905,Bansujapur,055,35,2015-11-04 18:30:06.000000,2015-11-04 18:30:06.000000
5906,Sandhipur,056,35,2015-11-04 18:30:06.000000,2015-11-04 18:30:06.000000
5908,Narayanpur,058,35,2015-11-04 18:30:06.000000,2015-11-04 18:30:06.000000
5910,Kenduatikuri,059,35,2015-11-04 18:30:06.000000,2015-11-04 18:30:06.000000
5912,Sodhpur,060,35,2015-11-04 18:30:06.000000,2015-11-04 18:30:06.000000
5914,Komarbandh,061,35,2015-11-04 18:30:06.000000,2015-11-04 18:30:06.000000
5916,Shillya,062,35,2015-11-04 18:30:06.000000,2015-11-04 18:30:06.000000
5917,Shimasimi,065,35,2015-11-04 18:30:06.000000,2015-11-04 18:30:06.000000
5918,Haripur,067,35,2015-11-04 18:30:06.000000,2015-11-04 18:30:06.000000
5919,Puratangram,068,35,2015-11-04 18:30:06.000000,2015-11-04 18:30:06.000000
6023,Napara,081,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6024,Aima Biswanathpur,082,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6025,Gangbil,083,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6026,Mahalchandni,084,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6027,Panagar,085,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6028,Kanksa,086,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6029,Debipur,087,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6030,Prayagpur,088,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6031,Anandapur,089,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6032,Silampur,090,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6033,Arrah,091,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6034,Paschim Gangarampur,092,36,2015-11-04 18:30:07.000000,2015-11-04 18:30:07.000000
6161,Saora,001,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6162,Ratibati,002,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6163,Chatui,003,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6164,Kumardiha,004,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6165,Chelad,005,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6166,Tirat,006,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6167,Chalbalpur,007,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6168,Jemari,008,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6169,Belebathan,009,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6170,Harabhanga,010,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6171,Damalia,011,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6172,Naryankuri,012,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6173,Egara,013,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6174,Amkula,014,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6175,Murgathole,015,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6176,Nimcha,016,39,2015-11-04 18:30:09.000000,2015-11-04 18:30:09.000000
6260,Amdiha,024,41,2015-11-04 18:30:10.000000,2015-11-04 18:30:10.000000
6261,Baliapur,025,41,2015-11-04 18:30:10.000000,2015-11-04 18:30:10.000000
7204,Manteswar,041,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7205,Lohar,042,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7206,Patikhaldanga,043,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7207,Varucha,044,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7208,Daukadanga,045,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7209,Patun,046,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7210,Bhurkunda,047,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7211,Dhenuya,048,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7212,Galatun,049,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7213,Sahajadpur,050,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7214,Putshudichak,051,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7215,Purba Khanpur,052,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7216,Charkadanga,053,52,2015-11-04 18:30:30.000000,2015-11-04 18:30:30.000000
7340,Kashta Kurumba,123,53,2015-11-04 18:30:32.000000,2015-11-04 18:30:32.000000
7342,Nathpur,125,53,2015-11-04 18:30:32.000000,2015-11-04 18:30:32.000000
7359,Sonakur,144,53,2015-11-04 18:30:32.000000,2015-11-04 18:30:32.000000
7360,Purba Krishnapur,145,53,2015-11-04 18:30:32.000000,2015-11-04 18:30:32.000000
7374,Jafrabad,159,53,2015-11-04 18:30:33.000000,2015-11-04 18:30:33.000000
7381,Kendrakhattadihi,001,53,2015-11-04 18:30:33.000000,2015-11-04 18:30:33.000000
7382,Bilpahari,002,53,2015-11-04 18:30:33.000000,2015-11-04 18:30:33.000000
7383,Ramnagar,003,53,2015-11-04 18:30:33.000000,2015-11-04 18:30:33.000000
7384,Dalurbandh,004,53,2015-11-04 18:30:33.000000,2015-11-04 18:30:33.000000
7385,Baidyanathpur,005,53,2015-11-04 18:30:33.000000,2015-11-04 18:30:33.000000
7386,Gobindapur,006,53,2015-11-04 18:30:33.000000,2015-11-04 18:30:33.000000
7387,Konda,007,53,2015-11-04 18:30:33.000000,2015-11-04 18:30:33.000000
7388,Deslopa,008,53,2015-11-04 18:30:33.000000,2015-11-04 18:30:33.000000
