0,1,2,3,4,5
712,Shaltora,000,4,2015-11-04 18:28:27,2015-11-04 18:28:27
3849,Devipur,001,23,2015-11-04 18:29:26,2015-11-04 18:29:26
3850,Sudi,001,23,2015-11-04 18:29:26,2015-11-04 18:29:26
3851,Junut,002,23,2015-11-04 18:29:26,2015-11-04 18:29:26
3852,Marichkota,002,23,2015-11-04 18:29:26,2015-11-04 18:29:26
3853,Duburdihi,002,23,2015-11-04 18:29:26,2015-11-04 18:29:26
3854,Bhaladi,003,23,2015-11-04 18:29:26,2015-11-04 18:29:26
3855,Indkata,003,23,2015-11-04 18:29:26,2015-11-04 18:29:26
3856,Kondaipur,003,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3857,Raghunathbati,003,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3858,Ramjibanpur,004,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3859,Namabara,004,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3860,Damagoria,004,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3861,Baradhemo,005,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3862,Chapradihi,005,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3863,Jamaldi,005,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3864,Aluthia,006,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3865,Chaptoria,006,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3866,Jagatdihi,006,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3867,Bharatchak,007,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3868,Dighari,007,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3869,Fatepur,007,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3870,Bartoria,008,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3871,Patmohana,008,23,2015-11-04 18:29:27,2015-11-04 18:29:27
3872,Sabanpur,008,23,2015-11-04 18:29:27,2015-11-04 18:29:27
