0,1,2,3,4,5,6,7,8
1,113,,,4,9,32,2016-03-16 10:17:36.000000,2016-03-16 10:17:36.000000
2,113,,,4,8,28,2016-03-16 10:18:49.000000,2016-03-16 10:18:49.000000
3,113,,,4,7,24,2016-03-16 10:19:51.000000,2016-03-16 10:19:51.000000
4,113,,,5,9,16,2016-03-16 10:20:14.000000,2016-03-16 10:20:14.000000
5,113,,,5,8,14,2016-03-16 10:20:32.000000,2016-03-16 10:20:32.000000
6,113,,,5,7,12,2016-03-16 10:20:51.000000,2016-03-16 10:20:51.000000
7,113,,,6,9,16,2016-03-16 10:21:09.000000,2016-03-16 10:21:09.000000
8,113,,,6,8,14,2016-03-16 10:21:25.000000,2016-03-16 10:21:25.000000
9,113,,,6,7,12,2016-03-16 10:22:05.000000,2016-03-16 10:22:05.000000
10,60,,,4,9,28,2016-03-16 10:26:20.000000,2016-03-16 10:26:20.000000
11,60,,,4,8,24,2016-03-16 10:26:35.000000,2016-03-16 10:26:35.000000
12,60,,,4,7,20,2016-03-16 10:26:50.000000,2016-03-16 10:26:50.000000
13,60,,,5,9,14,2016-03-16 10:27:14.000000,2016-03-16 10:27:14.000000
14,60,,,5,8,12,2016-03-16 10:27:26.000000,2016-03-16 10:27:26.000000
15,60,,,5,7,10,2016-03-16 10:27:45.000000,2016-03-16 10:27:45.000000
16,60,,,6,9,14,2016-03-16 10:28:06.000000,2016-03-16 10:28:06.000000
17,60,,,6,8,12,2016-03-16 10:28:20.000000,2016-03-16 10:28:20.000000
18,60,,,6,7,10,2016-03-16 10:28:32.000000,2016-03-16 10:28:32.000000
19,114,,,4,9,56,2016-03-16 10:29:37.000000,2016-03-16 10:29:37.000000
20,114,,,4,8,52,2016-03-16 10:29:52.000000,2016-03-16 10:29:52.000000
21,114,,,4,7,48,2016-03-16 10:30:06.000000,2016-03-16 10:30:06.000000
22,114,,,5,9,28,2016-03-16 10:30:22.000000,2016-03-16 10:30:22.000000
23,114,,,5,8,26,2016-03-16 10:30:35.000000,2016-03-16 10:30:35.000000
24,114,,,5,7,24,2016-03-16 10:30:55.000000,2016-03-16 10:30:55.000000
25,114,,,6,9,28,2016-03-16 10:31:12.000000,2016-03-16 10:31:12.000000
26,114,,,6,8,26,2016-03-16 10:31:25.000000,2016-03-16 10:31:25.000000
27,114,,,6,7,24,2016-03-16 10:31:36.000000,2016-03-16 10:31:36.000000
28,115,,,4,9,20,2016-03-16 10:35:59.000000,2016-03-16 10:35:59.000000
29,115,,,4,8,20,2016-03-16 10:36:10.000000,2016-03-16 10:36:10.000000
30,115,,,4,7,20,2016-03-16 10:36:19.000000,2016-03-16 10:36:19.000000
31,115,,,5,9,10,2016-03-16 10:36:33.000000,2016-03-16 10:36:33.000000
32,115,,,5,8,10,2016-03-16 10:36:40.000000,2016-03-16 10:36:40.000000
33,115,,,5,7,10,2016-03-16 10:36:46.000000,2016-03-16 10:36:46.000000
34,115,,,6,9,10,2016-03-16 10:36:59.000000,2016-03-16 10:36:59.000000
35,115,,,6,8,10,2016-03-16 10:37:05.000000,2016-03-16 10:37:05.000000
36,115,,,6,7,10,2016-03-16 10:37:13.000000,2016-03-16 10:37:13.000000
37,61,,,4,9,20,2016-03-16 10:38:50.000000,2016-03-16 10:38:50.000000
38,61,,,4,8,20,2016-03-16 10:38:58.000000,2016-03-16 10:38:58.000000
39,61,,,4,7,20,2016-03-16 10:39:07.000000,2016-03-16 10:39:07.000000
41,196,,,4,9,12,2016-03-18 05:58:40.528732,2016-03-18 05:58:40.528732
42,196,,,4,8,8,2016-03-18 05:58:53.358388,2016-03-18 05:58:53.358388
43,196,,,4,7,4,2016-03-18 05:59:06.598251,2016-03-18 05:59:06.598251
44,196,,,5,9,16,2016-03-18 05:59:30.470910,2016-03-18 05:59:30.470910
45,196,,,5,8,12,2016-03-18 05:59:41.639282,2016-03-18 05:59:41.639282
46,196,,,5,7,8,2016-03-18 05:59:54.809726,2016-03-18 05:59:54.809726
47,196,,,6,9,24,2016-03-18 06:00:10.944806,2016-03-18 06:00:10.944806
48,196,,,6,8,20,2016-03-18 06:00:26.889761,2016-03-18 06:00:26.889761
49,196,,,6,7,16,2016-03-18 06:00:37.358400,2016-03-18 06:00:37.358400
50,61,,,5,9,10,2016-03-21 05:20:14.832201,2016-03-21 05:20:14.832201
51,61,,,5,8,10,2016-03-21 05:22:20.200559,2016-03-21 05:22:20.200559
52,61,,,5,7,10,2016-03-21 05:22:25.643827,2016-03-21 05:22:25.643827
53,61,,,6,9,10,2016-03-21 05:22:37.034391,2016-03-21 05:22:37.034391
54,61,,,6,8,10,2016-03-21 05:22:43.364478,2016-03-21 05:22:43.364478
55,61,,,6,7,10,2016-03-21 05:22:52.451427,2016-03-21 05:22:52.451427
56,198,,,4,9,20,2016-03-21 05:23:42.845347,2016-03-21 05:23:42.845347
57,198,,,4,8,20,2016-03-21 05:23:48.413331,2016-03-21 05:23:48.413331
58,198,,,4,7,20,2016-03-21 05:23:56.213456,2016-03-21 05:23:56.213456
