0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
4251,10168,,Nadia 1 - STL Berhampore,2016-06-28,7.58,0.48,0.49,273,67,139,13.7,0.58,0.18,16.7,2.69,0.57,10-26-26,True,13017236125,2016-06-28 12:41:55.857766,2016-06-28 12:41:56.183291
4252,10169,,Nadia 1 - STL Berhampore,2016-06-28,7.61,0.36,0.52,294,49,165,14.6,0.41,0.27,12.5,2.64,0.85,10-26-26,True,13017236126,2016-06-28 12:41:56.368063,2016-06-28 12:41:56.738945
4253,10170,,Nadia 1 - STL Berhampore,2016-06-28,7.49,0.29,0.46,253,51,97,11.9,0.25,0.22,13.9,2.17,0.94,10-26-26,True,13017236127,2016-06-28 12:41:56.957279,2016-06-28 12:41:57.189338
4254,10171,,Nadia 1 - STL Berhampore,2016-06-28,7.85,0.35,0.37,192,42,185,13.6,0.46,0.33,14.8,2.34,0.76,10-26-26,True,13017236128,2016-06-28 12:41:57.392390,2016-06-28 12:41:57.856586
4255,10172,,Nadia 1 - STL Berhampore,2016-06-28,7.34,0.28,0.45,246,35,123,14.5,0.35,0.16,13.5,2.15,0.91,10-26-26,True,13017236129,2016-06-28 12:41:58.019302,2016-06-28 12:41:58.193284
4256,10173,,Nadia 1 - STL Berhampore,2016-06-28,7.12,0.48,0.39,205,46,178,13.8,0.43,0.27,13.6,2.64,0.72,10-26-26,True,13017236130,2016-06-28 12:41:58.313943,2016-06-28 12:41:58.490857
4257,10174,,Nadia 1 - STL Berhampore,2016-06-28,7.55,0.29,0.59,341,37,98,14.2,0.45,0.23,11.2,2.78,0.83,10-26-26,True,13017236131,2016-06-28 12:41:58.604250,2016-06-28 12:41:58.792935
4258,10175,,Nadia 1 - STL Berhampore,2016-06-28,7.59,0.34,0.57,328,49,124,13.6,0.58,0.24,10.4,2.97,0.95,10-26-26,True,13017236132,2016-06-28 12:41:58.913238,2016-06-28 12:41:59.230315
4259,10176,,Nadia 1 - STL Berhampore,2016-06-28,7.64,0.45,0.42,226,56,156,14.7,0.56,0.16,13.9,3.14,0.74,10-26-26,True,13017236133,2016-06-28 12:41:59.421747,2016-06-28 12:41:59.833311
4260,10177,,Nadia 1 - STL Berhampore,2016-06-28,7.48,0.18,0.53,300,37,138,12.9,0.25,0.35,16.5,2.45,0.68,10-26-26,True,13017236134,2016-06-28 12:42:00.042588,2016-06-28 12:42:00.462308
4261,10178,,Nadia 1 - STL Berhampore,2016-06-28,7.82,0.24,0.56,321,45,102,11.6,0.34,0.29,14.7,1.79,0.75,10-26-26,True,13017236135,2016-06-28 12:42:00.668664,2016-06-28 12:42:01.028826
4262,10179,,Nadia 1 - STL Berhampore,2016-06-28,7.92,0.17,0.36,185,39,139,10.2,0.49,0.24,13.6,2.54,0.92,10-26-26,True,13017236136,2016-06-28 12:42:01.301000,2016-06-28 12:42:01.947276
4263,10180,,Nadia 1 - STL Berhampore,2016-06-28,7.41,0.15,0.48,266,52,145,13.9,0.57,0.12,12.8,2.16,0.77,10-26-26,True,13017236137,2016-06-28 12:42:02.171314,2016-06-28 12:42:02.521107
4264,10181,,Nadia 1 - STL Berhampore,2016-06-28,7.52,0.33,0.59,341,56,163,13.5,0.53,0.11,11.9,2.34,0.86,10-26-26,True,13017236138,2016-06-28 12:42:02.614992,2016-06-28 12:42:02.787310
4265,10182,,Nadia 1 - STL Berhampore,2016-06-28,7.65,0.45,0.36,185,61,127,12.4,0.26,0.23,13.5,3.45,0.94,10-26-26,True,13017236139,2016-06-28 12:42:02.876818,2016-06-28 12:42:03.052876
4266,10183,,Nadia 1 - STL Berhampore,2016-06-28,7.25,0.26,0.71,423,27,158,10.6,0.36,0.14,13.8,1.78,0.72,10-26-26,True,13017236140,2016-06-28 12:42:03.150933,2016-06-28 12:42:03.308606
4267,10184,,Nadia 1 - STL Berhampore,2016-06-28,7.24,0.35,0.74,443,48,163,9.5,0.37,0.27,14.5,2.74,0.96,10-26-26,True,13017236141,2016-06-28 12:42:03.399900,2016-06-28 12:42:03.573611
4268,10185,,Nadia 1 - STL Berhampore,2016-06-28,7.32,0.48,0.59,341,75,142,10.2,0.47,0.16,13.1,2.65,0.83,10-26-26,True,13017236142,2016-06-28 12:42:03.695521,2016-06-28 12:42:03.892143
4269,10186,,Nadia 1 - STL Berhampore,2016-06-28,7.69,0.49,0.35,178,67,124,10.4,0.59,34,10.6,2.46,0.73,10-26-26,True,13017236143,2016-06-28 12:42:04.005268,2016-06-28 12:42:04.189810
4270,10187,,Nadia 1 - STL Berhampore,2016-06-28,7.82,0.52,0.46,253,59,145,13.6,0.54,0.23,12.8,2.31,0.53,10-26-26,True,13017236144,2016-06-28 12:42:04.346381,2016-06-28 12:42:04.673930
4271,10188,,Nadia 1 - STL Berhampore,2016-06-28,7.64,0.46,0.52,294,58,163,12.5,0.41,0.27,13.5,3.45,0.61,10-26-26,True,13017236145,2016-06-28 12:42:04.867960,2016-06-28 12:42:05.227066
4272,10189,,Nadia 1 - STL Berhampore,2016-06-28,7.25,0.32,0.53,300,54,127,14.7,0.26,0.19,12.7,2.79,0.73,10-26-26,True,13017236146,2016-06-28 12:42:05.451886,2016-06-28 12:42:05.905649
4273,10190,,Nadia 1 - STL Berhampore,2016-06-28,7.59,0.17,0.64,375,46,140,10.8,0.35,0.25,14.5,1.56,0.95,10-26-26,True,13017236147,2016-06-28 12:42:06.027250,2016-06-28 12:42:06.228782
4274,10191,,Nadia 1 - STL Berhampore,2016-06-28,7.61,0.15,0.48,266,51,125,11.6,0.46,0.24,13.9,2.94,0.74,10-26-26,True,13017236148,2016-06-28 12:42:06.342798,2016-06-28 12:42:06.529123
4275,10192,,Nadia 1 - STL Berhampore,2016-06-28,7.43,0.25,0.59,341,42,123,13.8,0.27,0.16,13.7,2.31,0.58,10-26-26,True,13017236149,2016-06-28 12:42:06.632305,2016-06-28 12:42:06.821571
4276,10193,,Nadia 1 - STL Berhampore,2016-06-28,7.56,0.34,0.67,396,53,145,14.7,0.49,0.23,14.5,2.36,0.77,10-26-26,True,13017236150,2016-06-28 12:42:06.929251,2016-06-28 12:42:07.218694
4277,10194,,Nadia 1 - STL Berhampore,2016-06-28,7.84,0.48,0.45,246,62,142,13.5,0.51,0.28,13.6,2.41,0.74,10-26-26,True,13017236151,2016-06-28 12:42:07.421785,2016-06-28 12:42:07.649346
4278,10195,,Nadia 1 - STL Berhampore,2016-06-28,7.24,0.36,0.52,294,47,112,10.7,0.42,0.24,12.5,1.89,0.86,10-26-26,True,13017236152,2016-06-28 12:42:07.768064,2016-06-28 12:42:08.038399
4279,10196,,Nadia 1 - STL Berhampore,2016-06-28,7.53,0.69,0.36,185,,45,14.2,0.52,0.16,10.2,2.64,0.94,10-26-26,True,13017236153,2016-06-28 12:42:08.135312,2016-06-28 12:42:08.314139
4280,10197,,Nadia 1 - STL Berhampore,2016-06-28,7.19,0.64,0.45,246,58,152,13.9,0.26,0.25,13.5,3.45,0.73,10-26-26,True,13017236154,2016-06-28 12:42:08.407715,2016-06-28 12:42:08.561522
4281,10198,,Nadia 1 - STL Berhampore,2016-06-28,7.64,0.25,0.53,300,46,147,14.5,0.35,0.24,13.9,2.94,0.85,10-26-26,True,13017236155,2016-06-28 12:42:08.653474,2016-06-28 12:42:08.804249
