id,name,created_at,updated_at,name_bn
1,Acidic,2016-03-03 09:09:17.000000,2016-08-06 13:24:46.024288,আম্লিক
3,Neutral,2016-03-03 09:09:33.000000,2016-08-06 13:25:36.780117,স্বাভাবিক
4,Alkaline,2016-03-03 09:09:41.000000,2016-08-06 13:25:56.138688,ক্ষারীয়
5,Normal,2016-03-03 09:09:59.000000,2016-08-06 13:26:20.073958,স্বাভাবিক
6,Critical,2016-03-03 09:10:09.000000,2016-08-06 13:26:51.704657,সংকটজনক
7,High,2016-03-03 09:10:24.000000,2016-08-06 13:27:49.740824,উচ্চ
8,Medium,2016-03-03 09:10:31.000000,2016-08-06 13:28:06.629047,মধ্যম
9,Low,2016-03-03 09:10:38.000000,2016-08-06 13:28:23.620197,নিম্ন
11,Deficient,2016-03-03 09:10:56.000000,2016-08-06 13:28:44.007269,অপর্যাপ্ত
10,Adequate,2016-03-03 09:10:49.000000,2016-08-06 13:29:01.771832,পর্যাপ্ত
2,Mild Acidic,2016-03-03 09:09:24.000000,2016-08-11 10:00:08.219420,ঈষত্ আম্লিক
