id,ph,ec,organic_carbon,nitrogen,phosphorus,potassium,sulpher,zinc,boron,iron,manganese,copper,test_id,created_at,updated_at,ph_rating,ec_rating,oc_rating,n_rating,p_rating,k_rating,s_rating,zn_rating,b_rating,fe_rating,mn_rating,cu_rating,mixed_fertilizer_rate_id,zn_rw_rating,user_id,shc_lang_version,distributed,soil_health_cards_count
45165,6.82,0.4,0.8,419.0,150.0,275.0,17.58,0.92,0.74,16.56,6.48,3.96,62618,2016-07-14 18:29:59.999999,2016-07-14 12:53:07.186353,3,5,7,8,7,8,7,10,10,10,10,10,1,10,,bn,1.0,5
45166,6.83,0.39,0.71,332.0,137.0,85.0,21.78,1.24,0.64,17.34,8.96,4.52,62619,2016-07-14 18:29:59.999999,2016-07-14 12:53:07.560592,3,5,8,8,7,9,7,10,10,10,10,10,1,10,,bn,1.0,5
45167,6.81,0.36,0.63,270.0,155.0,110.0,17.58,1.2,0.68,18.96,5.62,6.62,62620,2016-07-14 18:29:59.999999,2016-07-14 12:53:07.877461,3,5,8,9,7,9,7,10,10,10,10,10,1,10,,bn,1.0,6
45168,6.88,0.38,0.75,362.0,134.0,105.0,28.2,0.98,0.72,19.34,4.36,5.34,62621,2016-07-14 18:29:59.999999,2016-07-14 12:53:08.224674,3,5,7,8,7,9,7,10,10,10,10,10,1,10,,bn,1.0,7
45169,7.28,0.39,0.7,310.0,161.0,200.0,26.5,1.08,0.7,20.66,4.42,6.08,62622,2016-07-14 18:29:59.999999,2016-07-14 12:53:08.567178,3,5,8,8,7,8,7,10,10,10,10,10,1,10,,bn,1.0,5
45170,7.32,0.43,0.56,256.0,129.0,225.0,24.2,1.0,0.64,17.34,6.96,4.22,62623,2016-07-14 18:29:59.999999,2016-07-14 12:53:08.892735,3,5,8,9,7,8,7,10,10,10,10,10,1,10,,bn,1.0,5
45171,7.3,0.4,0.42,208.0,112.0,275.0,16.84,1.04,0.68,18.96,7.66,3.08,62624,2016-07-14 18:29:59.999999,2016-07-14 12:53:09.517351,3,5,9,9,7,8,7,10,10,10,10,10,1,10,,bn,1.0,8
45172,7.13,0.82,0.58,261.0,104.0,100.0,22.4,1.0,0.66,18.32,7.72,4.64,62625,2016-07-14 18:29:59.999999,2016-07-14 12:53:09.883722,3,5,8,9,7,9,7,10,10,10,10,10,1,10,,bn,1.0,8
45173,7.1,0.78,0.48,217.0,102.0,95.0,23.67,1.06,0.7,19.48,8.92,5.96,62626,2016-07-14 18:29:59.999999,2016-07-14 12:53:10.207022,3,5,9,9,7,9,7,10,10,10,10,10,1,10,,bn,1.0,6
45174,7.05,0.62,0.73,346.0,99.0,90.0,24.2,1.1,0.66,20.08,10.48,6.86,62627,2016-07-14 18:29:59.999999,2016-07-14 12:53:10.605095,3,5,8,8,7,9,7,10,10,10,10,10,1,10,,bn,1.0,6
45175,7.14,0.44,0.63,281.0,91.0,120.0,21.6,1.76,0.6,15.08,12.36,5.68,62628,2016-07-14 18:29:59.999999,2016-07-14 12:53:10.980693,3,5,8,8,7,9,7,10,10,10,10,10,1,10,,bn,1.0,5
45176,7.16,0.45,0.67,296.0,131.0,140.0,28.34,1.9,0.64,16.34,14.62,6.34,62629,2016-07-14 18:29:59.999999,2016-07-14 12:53:11.305459,3,5,8,8,7,9,7,10,10,10,10,10,1,10,,bn,1.0,8
