0,1,2,3
1,PH,2016-03-01 12:40:17.000000,2016-03-01 12:40:17.000000
2,EC,2016-03-01 12:40:26.000000,2016-03-01 12:40:26.000000
3,OC,2016-03-01 12:40:37.000000,2016-03-01 12:40:37.000000
4,N,2016-03-01 12:40:47.000000,2016-03-01 12:40:47.000000
5,P,2016-03-01 12:40:54.000000,2016-03-01 12:40:54.000000
6,K,2016-03-01 12:41:00.000000,2016-03-01 12:41:00.000000
7,S,2016-03-01 12:42:43.000000,2016-03-01 12:42:43.000000
8,Zn,2016-03-01 12:42:50.000000,2016-03-01 12:42:50.000000
9,B,2016-03-01 12:42:58.000000,2016-03-01 12:42:58.000000
10,Fe,2016-03-01 12:43:04.000000,2016-03-01 12:43:04.000000
11,Mn,2016-03-01 12:43:14.000000,2016-03-01 12:43:14.000000
12,Cu,2016-03-01 12:43:21.000000,2016-03-01 12:43:21.000000
13,Organic Manure,2016-03-01 12:43:36.000000,2016-03-01 12:43:36.000000
14,Biofertiliser,2016-03-01 12:43:59.000000,2016-03-01 12:43:59.000000
15,Lime,2016-03-01 12:44:15.000000,2016-03-01 12:44:15.000000
16,Gypsum,2016-03-01 12:44:24.000000,2016-03-01 12:44:24.000000
17,Zn-RW,2016-04-30 11:31:05.854998,2016-04-30 11:31:05.854998
