0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1233557,12,11021082012,12,206,28483,082,1,1,2.0,5,,,,21.8300000000000,87.7900000000000,,2017-05-24 08:05:34.337670,2017-05-24 08:05:34.337670,IMAG0366.jpg,image/jpeg,4895659.0,2017-05-24 08:05:33.331228,True,4848,,2017-05-12,4
1233567,26,11009157026,12,194,27453,157,1,1,3.0,3,"---
- '8'
- '10'
","---
- '36'
- '50'
","---
- '1'
- '13'
",,,,2017-05-24 08:08:46.941920,2017-05-24 08:08:46.941920,,,,,True,306,,2017-03-06,1
1233644,41,11009157041,12,194,27453,157,1,1,3.0,4,"---
- '1'
- '4'
","---
- '7'
- '15'
","---
- '1'
- '12'
",,,,2017-05-24 08:47:15.590998,2017-05-24 08:47:15.590998,,,,,True,306,,2017-03-08,1
1233513,81,07004048081,7,125,14131,048,1,1,2.0,2,"---
- '2'
","---
- '2'
","---
- '1'
",,,,2017-05-24 07:40:01.088428,2017-05-24 07:40:01.088428,,,,,True,3292,,2017-02-14,10
1233466,11,11021116011,12,206,28516,116,1,1,4.0,1,,,,21.8116000000000,87.9129000000000,,2017-05-24 07:15:23.378070,2017-05-24 07:15:23.378070,IMAG0069.jpg,image/jpeg,5429314.0,2017-05-24 07:15:21.733322,True,4848,,2017-05-11,3
1233571,5,11009056005,12,194,27386,056,1,1,3.0,2,"---
- '1'
- '4'
","---
- '7'
- '13'
","---
- '1'
- '36'
",,,,2017-05-24 08:09:42.487380,2017-05-24 08:09:42.487380,,,,,True,306,,2017-03-20,4
575655,73,07004066073,7,125,14147,066,1,2,1.0,5,"---
- '2'
- '37'
","---
- '2'
- '5'
","---
- '1'
",26.5671402000000,88.9319578000000,,2017-01-12 14:26:03.112389,2017-01-12 14:26:03.112389,20170112_195441_soil.jpeg,image/jpeg,141276.0,2017-01-12 14:26:02.960873,False,3164,,2017-01-12,9
1233586,30,11009157030,12,194,27453,157,1,1,3.0,4,"---
- '1'
- '7'
","---
- '13'
- '33'
","---
- '1'
- '10'
",,,,2017-05-24 08:14:51.123195,2017-05-24 08:14:51.123195,,,,,True,306,,2017-03-06,1
1233661,3,11024146003,12,209,28986,146,1,1,2.0,4,"---
- '1'
",,"---
- '1'
",,,,2017-05-24 08:59:59.804394,2017-05-24 08:59:59.804394,,,,,True,301,,2017-05-18,1
1233594,17,11024433017,12,209,29087,433,1,1,4.0,4,"---
- '1'
",,"---
- '1'
",,,,2017-05-24 08:16:46.872548,2017-05-24 08:16:46.872548,,,,,True,301,,2017-05-08,1
1233619,36,11009157036,12,194,27453,157,1,1,3.0,4,"---
- '5'
- '8'
","---
- '3'
- '36'
","---
- '1'
- '12'
",,,,2017-05-24 08:26:14.543442,2017-05-24 08:26:14.543442,,,,,True,306,,2017-03-08,1
1233716,22,11009056022,12,194,27386,056,1,1,3.0,2,"---
- '1'
- '8'
","---
- '13'
- '50'
","---
- '1'
- '19'
",,,,2017-05-24 09:35:34.704359,2017-05-24 09:35:34.704359,,,,,True,306,,2017-03-20,4
579057,89,07004066089,7,125,14147,066,1,1,1.0,5,"---
- '2'
- '8'
","---
- '2'
- '5'
","---
- '1'
",26.6169124000000,88.9388959000000,,2017-01-13 14:58:21.995882,2017-01-13 14:58:21.995882,20170113_202631_soil.jpeg,image/jpeg,237262.0,2017-01-13 14:58:21.799628,False,3164,,2017-01-13,4
579201,99,07004066099,7,125,14147,066,1,2,1.0,5,"---
- '2'
- '40'
","---
- '2'
- '5'
","---
- '1'
",26.6169124000000,88.9388959000000,,2017-01-13 16:35:50.584030,2017-01-13 16:35:50.584030,20170113_220440_soil.jpeg,image/jpeg,217919.0,2017-01-13 16:35:50.406647,False,3164,,2017-01-13,5
1233701,83,07004056083,7,125,14138,056,1,1,2.0,2,"---
- '2'
","---
- '2'
","---
- '1'
",,,,2017-05-24 09:26:15.652269,2017-05-24 09:26:15.652269,,,,,True,3292,,2017-02-23,3
1233555,31,11021116031,12,206,28516,116,1,1,4.0,1,,,,21.8116000000000,87.9129000000000,,2017-05-24 08:05:07.471800,2017-05-24 08:05:07.471800,IMAG0147.jpg,image/jpeg,5048146.0,2017-05-24 08:05:05.965500,True,4848,,2017-05-11,5
1233741,86,07004056086,7,125,14138,056,1,1,2.0,2,"---
- '2'
","---
- '2'
","---
- '1'
",,,,2017-05-24 09:57:31.999457,2017-05-24 09:57:31.999457,,,,,True,3292,,2017-03-08,2
1233639,55,11021105055,12,206,28506,105,1,1,1.0,5,,,,21.8298000000000,87.9364000000000,,2017-05-24 08:45:47.001286,2017-05-24 08:45:47.001286,20170516_095227.jpg,image/jpeg,2618132.0,2017-05-24 08:45:46.160763,True,4848,,2017-05-06,2
1233738,11,11024146011,12,209,28986,146,1,1,2.0,4,"---
- '1'
",,"---
- '1'
",,,,2017-05-24 09:55:38.506999,2017-05-24 09:55:38.506999,,,,,True,301,,2017-05-18,1
23511,198,07004105198,7,125,14186,105,1,1,1.0,2,"---
- '1'
- '2'
","---
- '1'
- '2'
","---
- '1'
",26.5446000000000,89.0987000000000,,2016-01-08 07:27:52.000000,2016-01-08 07:27:52.000000,20160108_125647_soil.jpeg,image/jpeg,500523.0,2016-01-08 07:27:51.000000,False,2,,2016-01-08,11
1233504,3,11021114003,12,206,28514,114,1,1,4.0,5,,,,21.4800000000000,87.5400000000000,,2017-05-24 07:35:06.906565,2017-05-24 07:35:06.906565,IMAG0347.jpg,image/jpeg,4483079.0,2017-05-24 07:35:05.189513,True,4848,,2017-05-12,4
1233561,42,11021105042,12,206,28506,105,1,1,1.0,5,,,,21.8298000000000,87.9364000000000,,2017-05-24 08:07:09.441613,2017-05-24 08:07:09.441613,20170516_094919.jpg,image/jpeg,2719560.0,2017-05-24 08:07:08.620253,True,4848,,2017-05-06,3
1233722,2,11021081002,12,206,28482,081,1,1,2.0,5,,,,21.8100000000000,81.8900000000000,,2017-05-24 09:41:51.150070,2017-05-24 09:41:51.150070,IMAG0384.jpg,image/jpeg,5094669.0,2017-05-24 09:41:49.923884,True,4848,,2017-05-14,4
